"Table S15. GO enrichment analysis of significant differentially methylated genes between between the pH treatments at Day 135. Column name numDEInCat is 'number of differentially expressed genes in category; column name numInCat is 'number of genes in category'; column name Cat is 'category'; F = Molecular Function, P = Biological Process; C = Cellular Component",GO.IDs,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,Cat,GO.Slim.Term,gene,uniprot,uniprot_taxa.id,uniprot.name
61,GO:0034638,0.043075539,1,1,1,phosphatidylcholine catabolic process,BP,P,other metabolic processes,PGEN_.00g169510,Q8NCC3,PAG15_HUMAN,Group XV phospholipase A2 (EC 2.3.1.-) (1-O-acylceramide synthase) (ACS) (LCAT-like lysophospholipase) (LLPL) (Lysophospholipase 3) (Lysosomal phospholipase A2) (LPLA2)
62,GO:0046338,0.043075539,1,1,1,phosphatidylethanolamine catabolic process,BP,P,other metabolic processes,PGEN_.00g169510,Q8NCC3,PAG15_HUMAN,Group XV phospholipase A2 (EC 2.3.1.-) (1-O-acylceramide synthase) (ACS) (LCAT-like lysophospholipase) (LLPL) (Lysophospholipase 3) (Lysosomal phospholipase A2) (LPLA2)
63,GO:2001280,0.043584977,1,1,1,positive regulation of unsaturated fatty acid biosynthetic process,BP,P,other metabolic processes,PGEN_.00g205480,Q9QY44,ABCD2_RAT,ATP-binding cassette sub-family D member 2 (Adrenoleukodystrophy-related protein)
64,GO:0019413,0.043748725,1,1,1,acetate biosynthetic process,BP,P,other metabolic processes,PGEN_.00g013580,Q99NB1,ACS2L_MOUSE,"Acetyl-coenzyme A synthetase 2-like, mitochondrial (EC 6.2.1.1) (Acetate--CoA ligase 2) (Acetyl-CoA synthetase 2) (AceCS2) (Acyl-CoA synthetase short-chain family member 1) (Propionate--CoA ligase) (EC 6.2.1.17)"
65,GO:0019427,0.043748725,1,1,1,acetyl-CoA biosynthetic process from acetate,BP,P,other metabolic processes,PGEN_.00g013580,Q99NB1,ACS2L_MOUSE,"Acetyl-coenzyme A synthetase 2-like, mitochondrial (EC 6.2.1.1) (Acetate--CoA ligase 2) (Acetyl-CoA synthetase 2) (AceCS2) (Acyl-CoA synthetase short-chain family member 1) (Propionate--CoA ligase) (EC 6.2.1.17)"
66,GO:0019542,0.043748725,1,1,1,propionate biosynthetic process,BP,P,other metabolic processes,PGEN_.00g013580,Q99NB1,ACS2L_MOUSE,"Acetyl-coenzyme A synthetase 2-like, mitochondrial (EC 6.2.1.1) (Acetate--CoA ligase 2) (Acetyl-CoA synthetase 2) (AceCS2) (Acyl-CoA synthetase short-chain family member 1) (Propionate--CoA ligase) (EC 6.2.1.17)"
67,GO:0070221,0.049510558,1,1,1,"sulfide oxidation, using sulfide:quinone oxidoreductase",BP,P,other metabolic processes,PGEN_.00g150990,Q9Y6N5,SQOR_HUMAN,"Sulfide:quinone oxidoreductase, mitochondrial (SQOR) (EC 1.8.5.-) (Sulfide dehydrogenase-like) (Sulfide quinone oxidoreductase)"
68,GO:0001868,0.025826455,0.998579197,2,5,"regulation of complement activation, lectin pathway",BP,P,protein metabolism,PGEN_.00g263790; PGEN_.00g302590,Q9I926; Q9I925,FUCL6_ANGJA; FUCL7_ANGJA,Fucolectin-6; Fucolectin-7
69,GO:0010801,0.029864792,0.998221613,2,5,negative regulation of peptidyl-threonine phosphorylation,BP,P,protein metabolism,PGEN_.00g211830; PGEN_.00g269010,P16056; Q8TEW0,MET_MOUSE; PARD3_HUMAN,Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met); Partitioning defective 3 homolog (PAR-3) (PARD-3) (Atypical PKC isotype-specific-interacting protein) (ASIP) (CTCL tumor antigen se2-5) (PAR3-alpha)
70,GO:0035278,0.032341192,0.997819479,2,6,miRNA mediated inhibition of translation,BP,P,protein metabolism,PGEN_.00g309470; PGEN_.00g325600,Q9UKV8; Q99466,AGO2_HUMAN; NOTC4_HUMAN,Protein argonaute-2 (Argonaute2) (hAgo2) (EC 3.1.26.n2) (Argonaute RISC catalytic component 2) (Eukaryotic translation initiation factor 2C 2) (eIF-2C 2) (eIF2C 2) (PAZ Piwi domain protein) (PPD) (Protein slicer); Neurogenic locus notch homolog protein 4 (Notch 4) (hNotch4) [Cleaved into: Notch 4 extracellular truncation; Notch 4 intracellular domain]
71,GO:0033235,0.033226101,0.998181497,2,4,positive regulation of protein sumoylation,BP,P,protein metabolism,PGEN_.00g033560; PGEN_.00g264510,Q922B6; P83038,TRAF7_MOUSE; HDAC4_CHICK,E3 ubiquitin-protein ligase TRAF7 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase TRAF7) (TNF receptor-associated factor 7); Histone deacetylase 4 (HD4) (EC 3.5.1.98)
72,GO:0043328,0.04049841,1,1,1,protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway,BP,P,protein metabolism,PGEN_.00g024960,Q6BK42,DDI1_DEBHA,DNA damage-inducible protein 1 (EC 3.4.23.-)
73,GO:0006351,0.026137588,0.993681791,5,34,"transcription, DNA-templated",BP,P,RNA metabolism,PGEN_.00g009310; PGEN_.00g040360; PGEN_.00g207680; PGEN_.00g312300; PGEN_.00g014630,P48380; Q8I8U7; Q6P8G1; Q9BTC0; Q6ZPV2,RFX3_HUMAN; TRA1_DROME; ILF2_XENTR; DIDO1_HUMAN; INO80_MOUSE,Transcription factor RFX3 (Regulatory factor X 3); Transcription-associated protein 1 (dTRA1); Interleukin enhancer-binding factor 2 homolog; Death-inducer obliterator 1 (DIO-1) (hDido1) (Death-associated transcription factor 1) (DATF-1); Chromatin-remodeling ATPase INO80 (EC 3.6.4.-) (DNA helicase-related INO80 complex homolog 1) (DNA helicase-related protein INO80)
74,GO:0002101,0.040632967,1,1,1,tRNA wobble cytosine modification,BP,P,RNA metabolism,PGEN_.00g020710,Q13686,ALKB1_HUMAN,Nucleic acid dioxygenase ALKBH1 (EC 1.14.11.-) (Alkylated DNA repair protein alkB homolog 1) (Alpha-ketoglutarate-dependent dioxygenase ABH1) (DNA 6mA demethylase) (DNA N6-methyl adenine demethylase ALKBH1) (EC 1.14.11.51) (DNA lyase ABH1) (EC 4.2.99.18) (DNA oxidative demethylase ALKBH1) (EC 1.14.11.33) (mRNA N(3)-methylcytidine demethylase) (EC 1.14.11.-)
75,GO:0035513,0.040632967,1,1,1,oxidative RNA demethylation,BP,P,RNA metabolism,PGEN_.00g020710,Q13686,ALKB1_HUMAN,Nucleic acid dioxygenase ALKBH1 (EC 1.14.11.-) (Alkylated DNA repair protein alkB homolog 1) (Alpha-ketoglutarate-dependent dioxygenase ABH1) (DNA 6mA demethylase) (DNA N6-methyl adenine demethylase ALKBH1) (EC 1.14.11.51) (DNA lyase ABH1) (EC 4.2.99.18) (DNA oxidative demethylase ALKBH1) (EC 1.14.11.33) (mRNA N(3)-methylcytidine demethylase) (EC 1.14.11.-)
76,GO:0042245,0.040632967,1,1,1,RNA repair,BP,P,RNA metabolism,PGEN_.00g020710,Q13686,ALKB1_HUMAN,Nucleic acid dioxygenase ALKBH1 (EC 1.14.11.-) (Alkylated DNA repair protein alkB homolog 1) (Alpha-ketoglutarate-dependent dioxygenase ABH1) (DNA 6mA demethylase) (DNA N6-methyl adenine demethylase ALKBH1) (EC 1.14.11.51) (DNA lyase ABH1) (EC 4.2.99.18) (DNA oxidative demethylase ALKBH1) (EC 1.14.11.33) (mRNA N(3)-methylcytidine demethylase) (EC 1.14.11.-)
77,GO:2000805,0.043236777,1,1,1,"negative regulation of termination of RNA polymerase II transcription, poly(A)-coupled",BP,P,RNA metabolism,PGEN_.00g076500,Q9UPN6,SCAF8_HUMAN,SR-related and CTD-associated factor 8 (CDC5L complex-associated protein 7) (RNA-binding motif protein 16)
78,GO:0035666,0.019626765,0.999424575,2,3,TRIF-dependent toll-like receptor signaling pathway,BP,P,signal transduction,PGEN_.00g220380; PGEN_.00g272660,Q9UHD2; Q13490,TBK1_HUMAN; BIRC2_HUMAN,Serine/threonine-protein kinase TBK1 (EC 2.7.11.1) (NF-kappa-B-activating kinase) (T2K) (TANK-binding kinase 1); Baculoviral IAP repeat-containing protein 2 (EC 2.3.2.27) (Cellular inhibitor of apoptosis 1) (C-IAP1) (IAP homolog B) (Inhibitor of apoptosis protein 2) (hIAP-2) (hIAP2) (RING finger protein 48) (RING-type E3 ubiquitin transferase BIRC2) (TNFR2-TRAF-signaling complex protein 2)
79,GO:0007223,0.022192446,0.999026462,2,4,"Wnt signaling pathway, calcium modulating pathway",BP,P,signal transduction,PGEN_.00g204470; PGEN_.00g309470,P41221; Q9UKV8,WNT5A_HUMAN; AGO2_HUMAN,Protein Wnt-5a; Protein argonaute-2 (Argonaute2) (hAgo2) (EC 3.1.26.n2) (Argonaute RISC catalytic component 2) (Eukaryotic translation initiation factor 2C 2) (eIF-2C 2) (eIF2C 2) (PAZ Piwi domain protein) (PPD) (Protein slicer)
80,GO:0007221,0.029324018,0.998271177,2,5,positive regulation of transcription of Notch receptor target,BP,P,signal transduction,PGEN_.00g242340; PGEN_.00g325600,Q01705; Q99466,NOTC1_MOUSE; NOTC4_HUMAN,Neurogenic locus notch homolog protein 1 (Notch 1) (Motch A) (mT14) (p300) [Cleaved into: Notch 1 extracellular truncation (NEXT); Notch 1 intracellular domain (NICD)]; Neurogenic locus notch homolog protein 4 (Notch 4) (hNotch4) [Cleaved into: Notch 4 extracellular truncation; Notch 4 intracellular domain]
81,GO:0070886,0.035545425,0.997476065,2,6,positive regulation of calcineurin-NFAT signaling cascade,BP,P,signal transduction,PGEN_.00g277910; PGEN_.00g159920,Q61165; P24587,SL9A1_MOUSE; AKAP5_RAT,Sodium/hydrogen exchanger 1 (Na(+)/H(+) exchanger 1) (NHE-1) (Solute carrier family 9 member 1); A-kinase anchor protein 5 (AKAP-5) (A-kinase anchor protein 150 kDa) (AKAP 150) (P150) (cAMP-dependent protein kinase regulatory subunit II high affinity-binding protein)
82,GO:0019933,0.037168358,0.992198548,4,20,cAMP-mediated signaling,BP,P,signal transduction,PGEN_.00g268760; PGEN_.00g007340; PGEN_.00g101290; PGEN_.00g059160,Q9EQZ6; Q08499; P14099; C6KFA3,RPGF4_MOUSE; PDE4D_HUMAN; PDE2A_BOVIN; AGRG6_DANRE,"Rap guanine nucleotide exchange factor 4 (Exchange factor directly activated by cAMP 2) (Exchange protein directly activated by cAMP 2) (EPAC 2) (cAMP-dependent Rap1 guanine-nucleotide exchange factor) (cAMP-regulated guanine nucleotide exchange factor II) (cAMP-GEFII); cAMP-specific 3',5'-cyclic phosphodiesterase 4D (EC 3.1.4.53) (DPDE3) (PDE43); cGMP-dependent 3',5'-cyclic phosphodiesterase (EC 3.1.4.17) (Cyclic GMP-stimulated phosphodiesterase) (CGS-PDE) (cGSPDE); Adhesion G-protein coupled receptor G6 (G-protein coupled receptor 126) [Cleaved into: ADGRG6 N-terminal fragment (ADGRG6-NTF); ADGRG6 C-terminal fragment (ADGRG6-CTF)]"
83,GO:0030514,0.038126573,0.989834245,5,33,negative regulation of BMP signaling pathway,BP,P,signal transduction,PGEN_.00g204470; PGEN_.00g116670; PGEN_.00g348700; PGEN_.00g242340; PGEN_.00g336990,P41221; O88307; Q9UPN9; Q01705; Q9UPN9,WNT5A_HUMAN; SORL_MOUSE; TRI33_HUMAN; NOTC1_MOUSE; TRI33_HUMAN,Protein Wnt-5a; Sortilin-related receptor (Gp250) (Low-density lipoprotein receptor relative with 11 ligand-binding repeats) (LDLR relative with 11 ligand-binding repeats) (LR11) (SorLA-1) (Sorting protein-related receptor containing LDLR class A repeats) (mSorLA); E3 ubiquitin-protein ligase TRIM33 (EC 2.3.2.27) (Ectodermin homolog) (RET-fused gene 7 protein) (Protein Rfg7) (RING-type E3 ubiquitin transferase TRIM33) (Transcription intermediary factor 1-gamma) (TIF1-gamma) (Tripartite motif-containing protein 33); Neurogenic locus notch homolog protein 1 (Notch 1) (Motch A) (mT14) (p300) [Cleaved into: Notch 1 extracellular truncation (NEXT); Notch 1 intracellular domain (NICD)]; E3 ubiquitin-protein ligase TRIM33 (EC 2.3.2.27) (Ectodermin homolog) (RET-fused gene 7 protein) (Protein Rfg7) (RING-type E3 ubiquitin transferase TRIM33) (Transcription intermediary factor 1-gamma) (TIF1-gamma) (Tripartite motif-containing protein 33)
84,GO:0090090,0.039400069,0.987686706,6,46,negative regulation of canonical Wnt signaling pathway,BP,P,signal transduction,PGEN_.00g204470; PGEN_.00g111560; PGEN_.00g242340; PGEN_.00g072570; PGEN_.00g190430; PGEN_.00g010620,P41221; Q90Z05; Q01705; O95835; O75096; O75581,WNT5A_HUMAN; VNG2B_XENLA; NOTC1_MOUSE; LATS1_HUMAN; LRP4_HUMAN; LRP6_HUMAN,Protein Wnt-5a; Vang-like protein 2-B (Protein strabismus-B) (Van Gogh-like protein 2-B) (Xstrabismus-B) (Xstbm-B); Neurogenic locus notch homolog protein 1 (Notch 1) (Motch A) (mT14) (p300) [Cleaved into: Notch 1 extracellular truncation (NEXT); Notch 1 intracellular domain (NICD)]; Serine/threonine-protein kinase LATS1 (EC 2.7.11.1) (Large tumor suppressor homolog 1) (WARTS protein kinase) (h-warts); Low-density lipoprotein receptor-related protein 4 (LRP-4) (Multiple epidermal growth factor-like domains 7); Low-density lipoprotein receptor-related protein 6 (LRP-6)
85,GO:0060392,0.040718738,0.996883735,2,6,negative regulation of SMAD protein signal transduction,BP,P,signal transduction,PGEN_.00g051430; PGEN_.00g303240,Q2HJF4; Q66K08,PBLD_BOVIN; CILP1_MOUSE,Phenazine biosynthesis-like domain-containing protein (EC 5.1.-.-); Cartilage intermediate layer protein 1 (CILP-1) [Cleaved into: Cartilage intermediate layer protein 1 C1; Cartilage intermediate layer protein 1 C2]
86,GO:0070495,0.041737546,1,1,1,negative regulation of thrombin-activated receptor signaling pathway,BP,P,signal transduction,PGEN_.00g211830,P16056,MET_MOUSE,Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)
87,GO:1901189,0.0419838,1,1,1,positive regulation of ephrin receptor signaling pathway,BP,P,signal transduction,PGEN_.00g242340,Q01705,NOTC1_MOUSE,Neurogenic locus notch homolog protein 1 (Notch 1) (Motch A) (mT14) (p300) [Cleaved into: Notch 1 extracellular truncation (NEXT); Notch 1 intracellular domain (NICD)]
88,GO:0045744,0.045806024,0.996543795,2,5,negative regulation of G protein-coupled receptor signaling pathway,BP,P,signal transduction,PGEN_.00g259150; PGEN_.00g173900,O08774; Q8CG73,RGS12_RAT; FTM_MOUSE,Regulator of G-protein signaling 12 (RGS12); Protein fantom (Nephrocystin-8) (RPGR-interacting protein 1-like protein) (RPGRIP1-like protein)
89,GO:0010753,0.04676609,0.99219706,3,15,positive regulation of cGMP-mediated signaling,BP,P,signal transduction,PGEN_.00g164020; PGEN_.00g148340; PGEN_.00g278670,P16066; P16066; P18293,ANPRA_HUMAN; ANPRA_HUMAN; ANPRA_MOUSE,Atrial natriuretic peptide receptor 1 (EC 4.6.1.2) (Atrial natriuretic peptide receptor type A) (ANP-A) (ANPR-A) (NPR-A) (Guanylate cyclase A) (GC-A); Atrial natriuretic peptide receptor 1 (EC 4.6.1.2) (Atrial natriuretic peptide receptor type A) (ANP-A) (ANPR-A) (NPR-A) (Guanylate cyclase A) (GC-A); Atrial natriuretic peptide receptor 1 (EC 4.6.1.2) (Atrial natriuretic peptide receptor type A) (ANP-A) (ANPR-A) (NPR-A) (Guanylate cyclase A) (GC-A)
90,GO:0045088,0.006415094,0.99923665,4,16,regulation of innate immune response,BP,P,stress response,PGEN_.00g263790; PGEN_.00g272660; PGEN_.00g302590; PGEN_.00g022920,Q9I926; Q13490; Q9I925; Q502K2,FUCL6_ANGJA; BIRC2_HUMAN; FUCL7_ANGJA; SAMH1_DANRE,Fucolectin-6; Baculoviral IAP repeat-containing protein 2 (EC 2.3.2.27) (Cellular inhibitor of apoptosis 1) (C-IAP1) (IAP homolog B) (Inhibitor of apoptosis protein 2) (hIAP-2) (hIAP2) (RING finger protein 48) (RING-type E3 ubiquitin transferase BIRC2) (TNFR2-TRAF-signaling complex protein 2); Fucolectin-7; Deoxynucleoside triphosphate triphosphohydrolase SAMHD1 (dNTPase) (EC 3.1.5.-)
91,GO:0071498,0.017031747,0.999352331,2,4,cellular response to fluid shear stress,BP,P,stress response,PGEN_.00g171350; PGEN_.00g171340,Q8R1S4; O43312,MTSS1_MOUSE; MTSS1_HUMAN,Protein MTSS 1 (Metastasis suppressor protein 1) (Missing in metastasis protein); Protein MTSS 1 (Metastasis suppressor YGL-1) (Metastasis suppressor protein 1) (Missing in metastasis protein)
92,GO:0010185,0.025826455,0.998579197,2,5,regulation of cellular defense response,BP,P,stress response,PGEN_.00g263790; PGEN_.00g302590,Q9I926; Q9I925,FUCL6_ANGJA; FUCL7_ANGJA,Fucolectin-6; Fucolectin-7
93,GO:0070417,0.028477743,0.998208621,2,6,cellular response to cold,BP,P,stress response,PGEN_.00g277910; PGEN_.00g236120,Q61165; Q27968,SL9A1_MOUSE; DNJC3_BOVIN,"Sodium/hydrogen exchanger 1 (Na(+)/H(+) exchanger 1) (NHE-1) (Solute carrier family 9 member 1); DnaJ homolog subfamily C member 3 (Interferon-induced, double-stranded RNA-activated protein kinase inhibitor) (Protein kinase inhibitor of 58 kDa) (Protein kinase inhibitor p58)"
94,GO:0050729,0.035648674,0.992488113,4,23,positive regulation of inflammatory response,BP,P,stress response,PGEN_.00g204470; PGEN_.00g279490; PGEN_.00g003430; PGEN_.00g101290,P41221; P42231; Q2V897; P14099,WNT5A_HUMAN; STA5A_SHEEP; TLR2_BOSTR; PDE2A_BOVIN,"Protein Wnt-5a; Signal transducer and activator of transcription 5A (Mammary gland factor); Toll-like receptor 2 (CD antigen CD282); cGMP-dependent 3',5'-cyclic phosphodiesterase (EC 3.1.4.17) (Cyclic GMP-stimulated phosphodiesterase) (CGS-PDE) (cGSPDE)"
95,GO:0006288,0.045281083,1,1,1,"base-excision repair, DNA ligation",BP,P,stress response,PGEN_.00g134810,P18887,XRCC1_HUMAN,DNA repair protein XRCC1 (X-ray repair cross-complementing protein 1)
96,GO:0060453,0.0050106,1,2,2,regulation of gastric acid secretion,BP,P,transport,PGEN_.00g076930; PGEN_.00g065950,P70057; O73925,KCNQ1_XENLA; KCNQ1_SQUAC,Potassium voltage-gated channel subfamily KQT member 1 (IKs producing slow voltage-gated potassium channel subunit alpha xKvLQT1) (KQT-like 1) (Voltage-gated potassium channel subunit Kv7.1); Potassium voltage-gated channel subfamily KQT member 1 (IKs producing slow voltage-gated potassium channel subunit alpha KvLQT1) (KQT-like 1) (Voltage-gated potassium channel subunit Kv7.1)
97,GO:0086009,0.0050106,1,2,2,membrane repolarization,BP,P,transport,PGEN_.00g076930; PGEN_.00g065950,P70057; O73925,KCNQ1_XENLA; KCNQ1_SQUAC,Potassium voltage-gated channel subfamily KQT member 1 (IKs producing slow voltage-gated potassium channel subunit alpha xKvLQT1) (KQT-like 1) (Voltage-gated potassium channel subunit Kv7.1); Potassium voltage-gated channel subfamily KQT member 1 (IKs producing slow voltage-gated potassium channel subunit alpha KvLQT1) (KQT-like 1) (Voltage-gated potassium channel subunit Kv7.1)
98,GO:0007589,0.010546689,0.999118524,3,9,body fluid secretion,BP,P,transport,PGEN_.00g164020; PGEN_.00g290440; PGEN_.00g148340,P16066; Q91V41; P16066,ANPRA_HUMAN; RAB14_MOUSE; ANPRA_HUMAN,Atrial natriuretic peptide receptor 1 (EC 4.6.1.2) (Atrial natriuretic peptide receptor type A) (ANP-A) (ANPR-A) (NPR-A) (Guanylate cyclase A) (GC-A); Ras-related protein Rab-14; Atrial natriuretic peptide receptor 1 (EC 4.6.1.2) (Atrial natriuretic peptide receptor type A) (ANP-A) (ANPR-A) (NPR-A) (Guanylate cyclase A) (GC-A)
99,GO:0015810,0.01569272,0.999428882,2,4,aspartate transmembrane transport,BP,P,transport,PGEN_.00g104460; PGEN_.00g143030,Q9UJS0; Q9Z0Z5,CMC2_HUMAN; S13A3_RAT,Calcium-binding mitochondrial carrier protein Aralar2 (Citrin) (Mitochondrial aspartate glutamate carrier 2) (Solute carrier family 25 member 13); Solute carrier family 13 member 3 (Na(+)/dicarboxylate cotransporter 3) (NaDC-3) (rNaDC3) (Sodium-dependent high-affinity dicarboxylate transporter 2)
100,GO:0035815,0.034686947,0.997569868,2,6,positive regulation of renal sodium excretion,BP,P,transport,PGEN_.00g164020; PGEN_.00g148340,P16066; P16066,ANPRA_HUMAN; ANPRA_HUMAN,Atrial natriuretic peptide receptor 1 (EC 4.6.1.2) (Atrial natriuretic peptide receptor type A) (ANP-A) (ANPR-A) (NPR-A) (Guanylate cyclase A) (GC-A); Atrial natriuretic peptide receptor 1 (EC 4.6.1.2) (Atrial natriuretic peptide receptor type A) (ANP-A) (ANPR-A) (NPR-A) (Guanylate cyclase A) (GC-A)
101,GO:0043271,0.035367332,0.997495632,2,6,negative regulation of ion transport,BP,P,transport,PGEN_.00g159920; PGEN_.00g207910,P24587; Q8IPH9,AKAP5_RAT; SLOB_DROME,A-kinase anchor protein 5 (AKAP-5) (A-kinase anchor protein 150 kDa) (AKAP 150) (P150) (cAMP-dependent protein kinase regulatory subunit II high affinity-binding protein); Slowpoke-binding protein
102,GO:0007303,0.037680289,0.998413302,2,3,"cytoplasmic transport, nurse cell to oocyte",BP,P,transport,PGEN_.00g279870; PGEN_.00g226840,P00522; Q9VEN1,ABL_DROME; FLNA_DROME,Tyrosine-protein kinase Abl (EC 2.7.10.2) (D-ash) (Protein abelson); Filamin-A (FLN-A) (Actin-binding protein 280) (ABP-280) (Filamin-1) (Filamin1)
103,GO:1902474,0.005533449,1,2,2,positive regulation of protein localization to synapse,BP,NA,NA,PGEN_.00g204470; PGEN_.00g009140,P41221; Q8BYM5,WNT5A_HUMAN; NLGN3_MOUSE,Protein Wnt-5a; Neuroligin-3 (Gliotactin homolog)
104,GO:0110025,0.009851671,0.999720014,2,4,DNA strand resection involved in replication fork processing,BP,NA,NA,PGEN_.00g041570; PGEN_.00g022920,Q9JIM0; Q502K2,MRE11_RAT; SAMH1_DANRE,Double-strand break repair protein MRE11 (EC 3.1.-.-) (Double-strand break repair protein MRE11A) (Meiotic recombination 11 homolog 1) (MRE11 homolog 1) (Meiotic recombination 11 homolog A) (MRE11 homolog A); Deoxynucleoside triphosphate triphosphohydrolase SAMHD1 (dNTPase) (EC 3.1.5.-)
105,GO:0098719,0.025339872,0.998805141,2,4,sodium ion import across plasma membrane,BP,NA,NA,PGEN_.00g277910; PGEN_.00g252700,Q61165; Q9ESQ5,SL9A1_MOUSE; TRPM4_RAT,Sodium/hydrogen exchanger 1 (Na(+)/H(+) exchanger 1) (NHE-1) (Solute carrier family 9 member 1); Transient receptor potential cation channel subfamily M member 4 (Calcium-activated non-selective cation channel 1) (Long transient receptor potential channel 4) (LTrpC-4) (LTrpC4) (MLS2s) (Melastatin-like 2)
106,GO:1904179,0.037497231,0.997469195,2,5,positive regulation of adipose tissue development,BP,NA,NA,PGEN_.00g252700; PGEN_.00g116670,Q9ESQ5; O88307,TRPM4_RAT; SORL_MOUSE,Transient receptor potential cation channel subfamily M member 4 (Calcium-activated non-selective cation channel 1) (Long transient receptor potential channel 4) (LTrpC-4) (LTrpC4) (MLS2s) (Melastatin-like 2); Sortilin-related receptor (Gp250) (Low-density lipoprotein receptor relative with 11 ligand-binding repeats) (LDLR relative with 11 ligand-binding repeats) (LR11) (SorLA-1) (Sorting protein-related receptor containing LDLR class A repeats) (mSorLA)
107,GO:1905062,0.04049841,1,1,1,positive regulation of cardioblast proliferation,BP,NA,NA,PGEN_.00g199570,Q9VVI3,NEDD4_DROME,E3 ubiquitin-protein ligase Nedd-4 (DNedd4) (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase NEDD4)
108,GO:1905306,0.04049841,1,1,1,positive regulation of cardiac myofibril assembly,BP,NA,NA,PGEN_.00g199570,Q9VVI3,NEDD4_DROME,E3 ubiquitin-protein ligase Nedd-4 (DNedd4) (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase NEDD4)
109,GO:1904457,0.04050461,1,1,1,positive regulation of neuronal action potential,BP,NA,NA,PGEN_.00g268760,Q9EQZ6,RPGF4_MOUSE,Rap guanine nucleotide exchange factor 4 (Exchange factor directly activated by cAMP 2) (Exchange protein directly activated by cAMP 2) (EPAC 2) (cAMP-dependent Rap1 guanine-nucleotide exchange factor) (cAMP-regulated guanine nucleotide exchange factor II) (cAMP-GEFII)
110,GO:0036494,0.040532484,1,1,1,positive regulation of translation initiation in response to endoplasmic reticulum stress,BP,NA,NA,PGEN_.00g236120,Q27968,DNJC3_BOVIN,"DnaJ homolog subfamily C member 3 (Interferon-induced, double-stranded RNA-activated protein kinase inhibitor) (Protein kinase inhibitor of 58 kDa) (Protein kinase inhibitor p58)"
111,GO:1990983,0.040632967,1,1,1,tRNA demethylation,BP,NA,NA,PGEN_.00g020710,Q13686,ALKB1_HUMAN,Nucleic acid dioxygenase ALKBH1 (EC 1.14.11.-) (Alkylated DNA repair protein alkB homolog 1) (Alpha-ketoglutarate-dependent dioxygenase ABH1) (DNA 6mA demethylase) (DNA N6-methyl adenine demethylase ALKBH1) (EC 1.14.11.51) (DNA lyase ABH1) (EC 4.2.99.18) (DNA oxidative demethylase ALKBH1) (EC 1.14.11.33) (mRNA N(3)-methylcytidine demethylase) (EC 1.14.11.-)
112,GO:0097552,0.040638303,1,1,1,mitochondrial double-strand break repair via homologous recombination,BP,NA,NA,PGEN_.00g041570,Q9JIM0,MRE11_RAT,Double-strand break repair protein MRE11 (EC 3.1.-.-) (Double-strand break repair protein MRE11A) (Meiotic recombination 11 homolog 1) (MRE11 homolog 1) (Meiotic recombination 11 homolog A) (MRE11 homolog A)
113,GO:1903949,0.04086334,1,1,1,positive regulation of atrial cardiac muscle cell action potential,BP,NA,NA,PGEN_.00g252700,Q9ESQ5,TRPM4_RAT,Transient receptor potential cation channel subfamily M member 4 (Calcium-activated non-selective cation channel 1) (Long transient receptor potential channel 4) (LTrpC-4) (LTrpC4) (MLS2s) (Melastatin-like 2)
114,GO:1904199,0.04086334,1,1,1,positive regulation of regulation of vascular associated smooth muscle cell membrane depolarization,BP,NA,NA,PGEN_.00g252700,Q9ESQ5,TRPM4_RAT,Transient receptor potential cation channel subfamily M member 4 (Calcium-activated non-selective cation channel 1) (Long transient receptor potential channel 4) (LTrpC-4) (LTrpC4) (MLS2s) (Melastatin-like 2)
115,GO:1904667,0.041102668,1,1,1,negative regulation of ubiquitin protein ligase activity,BP,NA,NA,PGEN_.00g037350,Q13257,MD2L1_HUMAN,Mitotic spindle assembly checkpoint protein MAD2A (HsMAD2) (Mitotic arrest deficient 2-like protein 1) (MAD2-like protein 1)
116,GO:0097498,0.041539061,1,1,1,endothelial tube lumen extension,BP,NA,NA,PGEN_.00g098500,Q923Q2,STA13_MOUSE,StAR-related lipid transfer protein 13 (START domain-containing protein 13) (StARD13)
117,GO:1902231,0.042338821,1,1,1,positive regulation of intrinsic apoptotic signaling pathway in response to DNA damage,BP,NA,NA,PGEN_.00g132060,Q99638,RAD9A_HUMAN,Cell cycle checkpoint control protein RAD9A (hRAD9) (EC 3.1.11.2) (DNA repair exonuclease rad9 homolog A)
