"","GO.IDs","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","GO.Term","GO.Slim.Term","Cat","gene","uniprot","uniprot_taxa.id","uniprot.name"
"88","GO:0009847",0.0401361661954269,0.999391150677253,1,4,"spore germination","BP","spore germination","other biological processes","P","PGEN_.00g322650","P22699","GUN6_DICDI","Endoglucanase (EC 3.2.1.4) (Cellulase) (Endo-1,4-beta-glucanase) (Spore germination protein 270-6)"
"89","GO:0032880",0.0423395123930559,0.99584317757209,2,27,"regulation of protein localization","BP","regulation of protein localization","other biological processes","P","PGEN_.00g033560; PGEN_.00g279870","Q922B6; P00522","TRAF7_MOUSE; ABL_DROME","E3 ubiquitin-protein ligase TRAF7 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase TRAF7) (TNF receptor-associated factor 7); Tyrosine-protein kinase Abl (EC 2.7.10.2) (D-ash) (Protein abelson)"
"90","GO:0043032",0.0430198302264873,0.999253506000523,1,5,"positive regulation of macrophage activation","BP","positive regulation of macrophage activation","other biological processes","P","PGEN_.00g204470","P41221","WNT5A_HUMAN","Protein Wnt-5a"
"91","GO:0010820",0.0454103662802683,0.999218837303956,1,4,"positive regulation of T cell chemotaxis","BP","positive regulation of T cell chemotaxis","other biological processes","P","PGEN_.00g204470","P41221","WNT5A_HUMAN","Protein Wnt-5a"
"92","GO:0009247",0.00268836340066267,0.999942381608558,2,12,"glycolipid biosynthetic process","BP","glycolipid biosynthetic process","other metabolic processes","P","PGEN_.00g129780; PGEN_.00g134400","P61315; P61315","G3ST3_MOUSE; G3ST3_MOUSE","Galactose-3-O-sulfotransferase 3 (Gal3ST-3) (EC 2.8.2.-) (Beta-galactose-3-O-sulfotransferase 3) (Gal-beta-1, 3-GalNAc 3'-sulfotransferase 3); Galactose-3-O-sulfotransferase 3 (Gal3ST-3) (EC 2.8.2.-) (Beta-galactose-3-O-sulfotransferase 3) (Gal-beta-1, 3-GalNAc 3'-sulfotransferase 3)"
"93","GO:0009710",0.00514123699839318,1,1,1,"tropane alkaloid biosynthetic process","BP","tropane alkaloid biosynthetic process","other metabolic processes","P","PGEN_.00g279140","P50164","TRN2_HYONI","Tropinone reductase 2 (EC 1.1.1.236) (Tropinone reductase II) (TR-II)"
"94","GO:0008610",0.00664407765589026,0.999770679952117,2,13,"lipid biosynthetic process","BP","lipid biosynthetic process","other metabolic processes","P","PGEN_.00g004840; PGEN_.00g101840","P54646; Q8R197","AAPK2_HUMAN; SAST_MOUSE","5'-AMP-activated protein kinase catalytic subunit alpha-2 (AMPK subunit alpha-2) (EC 2.7.11.1) (Acetyl-CoA carboxylase kinase) (ACACA kinase) (EC 2.7.11.27) (Hydroxymethylglutaryl-CoA reductase kinase) (HMGCR kinase) (EC 2.7.11.31); S-acyl fatty acid synthase thioesterase, medium chain (EC 3.1.2.14) (Oleoyl-ACP hydrolase) (Thioesterase II) (Thioesterase domain-containing protein 1)"
"95","GO:0051792",0.0116520160473794,1,1,1,"medium-chain fatty acid biosynthetic process","BP","medium-chain fatty acid biosynthetic process","other metabolic processes","P","PGEN_.00g101840","Q8R197","SAST_MOUSE","S-acyl fatty acid synthase thioesterase, medium chain (EC 3.1.2.14) (Oleoyl-ACP hydrolase) (Thioesterase II) (Thioesterase domain-containing protein 1)"
"96","GO:0006572",0.0120341616948917,1,1,1,"tyrosine catabolic process","BP","tyrosine catabolic process","other metabolic processes","P","PGEN_.00g060400","Q93099","HGD_HUMAN","Homogentisate 1,2-dioxygenase (EC 1.13.11.5) (Homogentisate oxygenase) (Homogentisic acid oxidase) (Homogentisicase)"
"97","GO:0042304",0.015568345354153,1,1,1,"regulation of fatty acid biosynthetic process","BP","regulation of fatty acid biosynthetic process","other metabolic processes","P","PGEN_.00g004840","P54646","AAPK2_HUMAN","5'-AMP-activated protein kinase catalytic subunit alpha-2 (AMPK subunit alpha-2) (EC 2.7.11.1) (Acetyl-CoA carboxylase kinase) (ACACA kinase) (EC 2.7.11.27) (Hydroxymethylglutaryl-CoA reductase kinase) (HMGCR kinase) (EC 2.7.11.31)"
"98","GO:0006660",0.0199179376540632,0.999900734786256,1,2,"phosphatidylserine catabolic process","BP","phosphatidylserine catabolic process","other metabolic processes","P","PGEN_.00g279730","Q5R6S0","ABHGA_PONAB","Phosphatidylserine lipase ABHD16A (EC 3.1.-.-) (Alpha/beta hydrolase domain-containing protein 16A) (Abhydrolase domain-containing protein 16A) (HLA-B-associated transcript 5 homolog) (Monoacylglycerol lipase ABHD16A) (EC 3.1.1.23)"
"99","GO:0006633",0.0253787650895494,0.99811366542253,2,26,"fatty acid biosynthetic process","BP","fatty acid biosynthetic process","other metabolic processes","P","PGEN_.00g004840; PGEN_.00g213500","P54646; P9WQE8","AAPK2_HUMAN; PHAS_MYCTO","5'-AMP-activated protein kinase catalytic subunit alpha-2 (AMPK subunit alpha-2) (EC 2.7.11.1) (Acetyl-CoA carboxylase kinase) (ACACA kinase) (EC 2.7.11.27) (Hydroxymethylglutaryl-CoA reductase kinase) (HMGCR kinase) (EC 2.7.11.31); Phthioceranic/hydroxyphthioceranic acid synthase (EC 2.3.1.-) (Polyketide synthase pks2)"
"100","GO:0048022",0.0277453494724824,0.999806609392073,1,2,"negative regulation of melanin biosynthetic process","BP","negative regulation of melanin biosynthetic process","other metabolic processes","P","PGEN_.00g204470","P41221","WNT5A_HUMAN","Protein Wnt-5a"
"101","GO:0006559",0.0298561964862369,0.99966458557925,1,4,"L-phenylalanine catabolic process","BP","L-phenylalanine catabolic process","other metabolic processes","P","PGEN_.00g060400","Q93099","HGD_HUMAN","Homogentisate 1,2-dioxygenase (EC 1.13.11.5) (Homogentisate oxygenase) (Homogentisic acid oxidase) (Homogentisicase)"
"102","GO:0030207",0.0324817125718866,0.999558798363928,1,6,"chondroitin sulfate catabolic process","BP","chondroitin sulfate catabolic process","other metabolic processes","P","PGEN_.00g218470","O14594","NCAN_HUMAN","Neurocan core protein (Chondroitin sulfate proteoglycan 3)"
"103","GO:0030208",0.0344716690699135,0.999522390534013,1,5,"dermatan sulfate biosynthetic process","BP","dermatan sulfate biosynthetic process","other metabolic processes","P","PGEN_.00g218470","O14594","NCAN_HUMAN","Neurocan core protein (Chondroitin sulfate proteoglycan 3)"
"104","GO:0046511",0.0350645469285077,0.999587423651743,1,3,"sphinganine biosynthetic process","BP","sphinganine biosynthetic process","other metabolic processes","P","PGEN_.00g171780","P97363","SPTC2_MOUSE","Serine palmitoyltransferase 2 (EC 2.3.1.50) (Long chain base biosynthesis protein 2) (LCB 2) (Long chain base biosynthesis protein 2a) (LCB2a) (Serine-palmitoyl-CoA transferase 2) (SPT 2)"
"105","GO:0008299",0.03651417724632,0.999463661967798,1,5,"isoprenoid biosynthetic process","BP","isoprenoid biosynthetic process","other metabolic processes","P","PGEN_.00g273120","O26153","IPK_METTH","Isopentenyl phosphate kinase (IPK) (EC 2.7.4.26)"
"106","GO:0006686",0.0396424607404883,0.999406164073231,1,4,"sphingomyelin biosynthetic process","BP","sphingomyelin biosynthetic process","other metabolic processes","P","PGEN_.00g171780","P97363","SPTC2_MOUSE","Serine palmitoyltransferase 2 (EC 2.3.1.50) (Long chain base biosynthesis protein 2) (LCB 2) (Long chain base biosynthesis protein 2a) (LCB2a) (Serine-palmitoyl-CoA transferase 2) (SPT 2)"
"107","GO:0010628",0.0470572703923052,0.988427779759444,4,131,"positive regulation of gene expression","BP","positive regulation of gene expression","other metabolic processes","P","PGEN_.00g149640; PGEN_.00g204470; PGEN_.00g211830; PGEN_.00g334400","Q80YX1; P41221; P16056; O01761","TENA_MOUSE; WNT5A_HUMAN; MET_MOUSE; UNC89_CAEEL","Tenascin (TN) (Hexabrachion) (Tenascin-C) (TN-C); Protein Wnt-5a; Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met); Muscle M-line assembly protein unc-89 (Obscurin) (Uncoordinated protein 89)"
"108","GO:0010800",0.00644291649539303,0.999781131309568,2,13,"positive regulation of peptidyl-threonine phosphorylation","BP","positive regulation of peptidyl-threonine phosphorylation","protein metabolism","P","PGEN_.00g204470; PGEN_.00g211830","P41221; P16056","WNT5A_HUMAN; MET_MOUSE","Protein Wnt-5a; Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)"
"109","GO:0031116",0.00806256892504481,0.99968681762655,2,15,"positive regulation of microtubule polymerization","BP","positive regulation of microtubule polymerization","protein metabolism","P","PGEN_.00g013900; PGEN_.00g211830","Q80TN7; P16056","NAV3_MOUSE; MET_MOUSE","Neuron navigator 3 (Pore membrane and/or filament-interacting-like protein 1); Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)"
"110","GO:0031397",0.0123685176284217,0.999380180140421,2,21,"negative regulation of protein ubiquitination","BP","negative regulation of protein ubiquitination","protein metabolism","P","PGEN_.00g043790; PGEN_.00g271680","P97346; Q5U504","NXN_MOUSE; KLH40_XENLA","Nucleoredoxin (EC 1.8.1.8) (Protein Red-1); Kelch-like protein 40 (Kelch repeat and BTB domain-containing protein 5)"
"111","GO:0006449",0.0131088308312884,1,1,1,"regulation of translational termination","BP","regulation of translational termination","protein metabolism","P","PGEN_.00g203340","Q32L09","SHFL_BOVIN","Shiftless antiviral inhibitor of ribosomal frameshifting protein homolog (SHFL) (Repressor of yield of DENV protein homolog) (RyDEN)"
"112","GO:0006419",0.0259210487200265,0.999775481761243,1,3,"alanyl-tRNA aminoacylation","BP","alanyl-tRNA aminoacylation","protein metabolism","P","PGEN_.00g183880","P21894","SYAC_BOMMO","Alanine--tRNA ligase, cytoplasmic (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS)"
"113","GO:0006482",0.0269096975905476,0.999757919132561,1,3,"protein demethylation","BP","protein amino acid demethylation","protein metabolism","P","PGEN_.00g131030","Q9NXW9","ALKB4_HUMAN","Alpha-ketoglutarate-dependent dioxygenase alkB homolog 4 (Alkylated DNA repair protein alkB homolog 4) (DNA N6-methyl adenine demethylase ALKBH4) (EC 1.14.11.51) (Lysine-specific demethylase ALKBH4) (EC 1.14.11.-)"
"114","GO:0060394",0.0311385174168829,0.999675226826215,1,3,"negative regulation of pathway-restricted SMAD protein phosphorylation","BP","negative regulation of pathway-restricted SMAD protein phosphorylation","protein metabolism","P","PGEN_.00g051430","Q2HJF4","PBLD_BOVIN","Phenazine biosynthesis-like domain-containing protein (EC 5.1.-.-)"
"115","GO:0033138",0.0357021772493273,0.996786985903504,2,30,"positive regulation of peptidyl-serine phosphorylation","BP","positive regulation of peptidyl-serine phosphorylation","protein metabolism","P","PGEN_.00g204470; PGEN_.00g211830","P41221; P16056","WNT5A_HUMAN; MET_MOUSE","Protein Wnt-5a; Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)"
"116","GO:0000187",0.0403575708894036,0.996100641110698,2,33,"activation of MAPK activity","BP","activation of MAPK activity","protein metabolism","P","PGEN_.00g204470; PGEN_.00g211830","P41221; P16056","WNT5A_HUMAN; MET_MOUSE","Protein Wnt-5a; Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)"
"117","GO:0001868",0.0448004727842727,0.999189829803756,1,5,"regulation of complement activation, lectin pathway","BP","regulation of complement activation, lectin pathway","protein metabolism","P","PGEN_.00g263790","Q9I926","FUCL6_ANGJA","Fucolectin-6"
"118","GO:0008064",0.0465636332903689,0.999124161220436,1,5,"regulation of actin polymerization or depolymerization","BP","regulation of actin polymerization or depolymerization","protein metabolism","P","PGEN_.00g279870","P00522","ABL_DROME","Tyrosine-protein kinase Abl (EC 2.7.10.2) (D-ash) (Protein abelson)"
"119","GO:0010801",0.0476896374262564,0.99908085787075,1,5,"negative regulation of peptidyl-threonine phosphorylation","BP","negative regulation of peptidyl-threonine phosphorylation","protein metabolism","P","PGEN_.00g211830","P16056","MET_MOUSE","Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)"
"120","GO:0016055",0.00276273888292525,0.999601645832004,5,93,"Wnt signaling pathway","BP","Wnt receptor signaling pathway","signal transduction","P","PGEN_.00g004840; PGEN_.00g043790; PGEN_.00g190430; PGEN_.00g204470; PGEN_.00g208580","P54646; P97346; O75096; P41221; Q3L254","AAPK2_HUMAN; NXN_MOUSE; LRP4_HUMAN; WNT5A_HUMAN; WNT7B_CHICK","5'-AMP-activated protein kinase catalytic subunit alpha-2 (AMPK subunit alpha-2) (EC 2.7.11.1) (Acetyl-CoA carboxylase kinase) (ACACA kinase) (EC 2.7.11.27) (Hydroxymethylglutaryl-CoA reductase kinase) (HMGCR kinase) (EC 2.7.11.31); Nucleoredoxin (EC 1.8.1.8) (Protein Red-1); Low-density lipoprotein receptor-related protein 4 (LRP-4) (Multiple epidermal growth factor-like domains 7); Protein Wnt-5a; Protein Wnt-7b"
"121","GO:0070495",0.0078819923351325,1,1,1,"negative regulation of thrombin-activated receptor signaling pathway","BP","negative regulation of thrombin receptor signaling pathway","signal transduction","P","PGEN_.00g211830","P16056","MET_MOUSE","Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)"
"122","GO:0045880",0.0107502069105273,0.999511517343003,2,16,"positive regulation of smoothened signaling pathway","BP","positive regulation of smoothened signaling pathway","signal transduction","P","PGEN_.00g049510; PGEN_.00g165230","Q8TDM6; Q8IWY4","DLG5_HUMAN; SCUB1_HUMAN","Disks large homolog 5 (Discs large protein P-dlg) (Placenta and prostate DLG); Signal peptide, CUB and EGF-like domain-containing protein 1"
"123","GO:0048012",0.0318143007665538,0.99961882610982,1,4,"hepatocyte growth factor receptor signaling pathway","BP","hepatocyte growth factor receptor signaling pathway","signal transduction","P","PGEN_.00g211830","P16056","MET_MOUSE","Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)"
"124","GO:0060070",0.0349060166142583,0.996907903951027,2,28,"canonical Wnt signaling pathway","BP","Wnt receptor signaling pathway through beta-catenin","signal transduction","P","PGEN_.00g204470; PGEN_.00g208580","P41221; Q3L254","WNT5A_HUMAN; WNT7B_CHICK","Protein Wnt-5a; Protein Wnt-7b"
"125","GO:0040037",0.0388173152390893,0.999368290066938,1,6,"negative regulation of fibroblast growth factor receptor signaling pathway","BP","negative regulation of fibroblast growth factor receptor signaling pathway","signal transduction","P","PGEN_.00g204470","P41221","WNT5A_HUMAN","Protein Wnt-5a"
"126","GO:0007223",0.0436516765735053,0.99927872371542,1,4,"Wnt signaling pathway, calcium modulating pathway","BP","Wnt receptor signaling pathway, calcium modulating pathway","signal transduction","P","PGEN_.00g204470","P41221","WNT5A_HUMAN","Protein Wnt-5a"
"127","GO:0034342",0.0131088308312884,1,1,1,"response to type III interferon","BP","response to type III interferon","stress response","P","PGEN_.00g203340","Q32L09","SHFL_BOVIN","Shiftless antiviral inhibitor of ribosomal frameshifting protein homolog (SHFL) (Repressor of yield of DENV protein homolog) (RyDEN)"
"128","GO:0050727",0.0290632887620229,0.997672086988577,2,27,"regulation of inflammatory response","BP","regulation of inflammatory response","stress response","P","PGEN_.00g204470; PGEN_.00g213360","P41221; Q14995","WNT5A_HUMAN; NR1D2_HUMAN","Protein Wnt-5a; Nuclear receptor subfamily 1 group D member 2 (Orphan nuclear hormone receptor BD73) (Rev-erb alpha-related receptor) (RVR) (Rev-erb-beta) (V-erbA-related protein 1-related) (EAR-1R)"
"129","GO:0009414",0.0302473251002766,0.999693676238769,1,3,"response to water deprivation","BP","response to water deprivation","stress response","P","PGEN_.00g029240","Q86VZ4","LRP11_HUMAN","Low-density lipoprotein receptor-related protein 11 (LRP-11)"
"130","GO:0007596",0.0325385978188423,0.997210250875537,2,31,"blood coagulation","BP","blood coagulation","stress response","P","PGEN_.00g165230; PGEN_.00g345410","Q8IWY4; Q29485","SCUB1_HUMAN; PLMN_ERIEU","Signal peptide, CUB and EGF-like domain-containing protein 1; Plasminogen (EC 3.4.21.7) [Cleaved into: Plasmin heavy chain A; Activation peptide; Plasmin heavy chain A, short form; Plasmin light chain B]"
"131","GO:0042060",0.039859403711242,0.996198604603068,2,29,"wound healing","BP","wound healing","stress response","P","PGEN_.00g149640; PGEN_.00g204470","Q80YX1; P41221","TENA_MOUSE; WNT5A_HUMAN","Tenascin (TN) (Hexabrachion) (Tenascin-C) (TN-C); Protein Wnt-5a"
"132","GO:0034341",0.0427187843621804,0.999309502998585,1,4,"response to interferon-gamma","BP","response to interferon-gamma","stress response","P","PGEN_.00g203340","Q32L09","SHFL_BOVIN","Shiftless antiviral inhibitor of ribosomal frameshifting protein homolog (SHFL) (Repressor of yield of DENV protein homolog) (RyDEN)"
"133","GO:0070417",0.0444338773149957,0.999170376346212,1,6,"cellular response to cold","BP","cellular response to cold","stress response","P","PGEN_.00g277910","Q61165","SL9A1_MOUSE","Sodium/hydrogen exchanger 1 (Na(+)/H(+) exchanger 1) (NHE-1) (Solute carrier family 9 member 1)"
"134","GO:0010185",0.0448004727842727,0.999189829803756,1,5,"regulation of cellular defense response","BP","regulation of cellular defense response","stress response","P","PGEN_.00g263790","Q9I926","FUCL6_ANGJA","Fucolectin-6"
"135","GO:0009651",0.0469282002981594,0.999256950925502,1,3,"response to salt stress","BP","response to salt stress","stress response","P","PGEN_.00g043300","Q07076","ANXA7_MOUSE","Annexin A7 (Annexin VII) (Annexin-7) (Synexin)"
"136","GO:0043328",0.00261723349843826,1,1,1,"protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway","BP","protein targeting to vacuole during ubiquitin-dependent protein catabolic process via the MVB pathway","transport","P","PGEN_.00g024960","Q6BK42","DDI1_DEBHA","DNA damage-inducible protein 1 (EC 3.4.23.-)"
"137","GO:0046827",0.0237959170316437,0.999858036312391,1,2,"positive regulation of protein export from nucleus","BP","positive regulation of protein export from nucleus","transport","P","PGEN_.00g279870","P00522","ABL_DROME","Tyrosine-protein kinase Abl (EC 2.7.10.2) (D-ash) (Protein abelson)"
"138","GO:0060453",0.0243330009963386,0.999851514653958,1,2,"regulation of gastric acid secretion","BP","regulation of gastric acid secretion","transport","P","PGEN_.00g065950","O73925","KCNQ1_SQUAC","Potassium voltage-gated channel subfamily KQT member 1 (IKs producing slow voltage-gated potassium channel subunit alpha KvLQT1) (KQT-like 1) (Voltage-gated potassium channel subunit Kv7.1)"
"139","GO:0006853",0.0295207991581285,0.999780866465825,1,2,"carnitine shuttle","BP","carnitine shuttle","transport","P","PGEN_.00g004840","P54646","AAPK2_HUMAN","5'-AMP-activated protein kinase catalytic subunit alpha-2 (AMPK subunit alpha-2) (EC 2.7.11.1) (Acetyl-CoA carboxylase kinase) (ACACA kinase) (EC 2.7.11.27) (Hydroxymethylglutaryl-CoA reductase kinase) (HMGCR kinase) (EC 2.7.11.31)"
"140","GO:0048278",0.0358498185343547,0.999483143521576,1,5,"vesicle docking","BP","vesicle docking","transport","P","PGEN_.00g185010","Q8BVI5","STX16_MOUSE","Syntaxin-16"
"141","GO:0006627",0.0395370238329324,0.999370395206563,1,5,"protein processing involved in protein targeting to mitochondrion","BP","mitochondrial protein processing during import","transport","P","PGEN_.00g228480","A6H611","MIPEP_MOUSE","Mitochondrial intermediate peptidase (MIP) (EC 3.4.24.59)"
"142","GO:0015811",0.0421462014130176,0.999283777566095,1,5,"L-cystine transport","BP","L-cystine transport","transport","P","PGEN_.00g186170","P82251","BAT1_HUMAN","b(0,+)-type amino acid transporter 1 (b(0,+)AT1) (Glycoprotein-associated amino acid transporter b0,+AT1) (Solute carrier family 7 member 9)"
"143","GO:0071300",0.000403513132855562,0.9999887238853,3,12,"cellular response to retinoic acid","BP",NA,NA,NA,"PGEN_.00g149640; PGEN_.00g204470; PGEN_.00g208580","Q80YX1; P41221; Q3L254","TENA_MOUSE; WNT5A_HUMAN; WNT7B_CHICK","Tenascin (TN) (Hexabrachion) (Tenascin-C) (TN-C); Protein Wnt-5a; Protein Wnt-7b"
"144","GO:0098719",0.000874008210864013,0.999992957258076,2,4,"sodium ion import across plasma membrane","BP",NA,NA,NA,"PGEN_.00g252700; PGEN_.00g277910","Q9ESQ5; Q61165","TRPM4_RAT; SL9A1_MOUSE","Transient receptor potential cation channel subfamily M member 4 (Calcium-activated non-selective cation channel 1) (Long transient receptor potential channel 4) (LTrpC-4) (LTrpC4) (MLS2s) (Melastatin-like 2); Sodium/hydrogen exchanger 1 (Na(+)/H(+) exchanger 1) (NHE-1) (Solute carrier family 9 member 1)"
"145","GO:0036090",0.00491383030839512,1,1,1,"cleavage furrow ingression","BP",NA,NA,NA,"PGEN_.00g131030","Q9NXW9","ALKB4_HUMAN","Alpha-ketoglutarate-dependent dioxygenase alkB homolog 4 (Alkylated DNA repair protein alkB homolog 4) (DNA N6-methyl adenine demethylase ALKBH4) (EC 1.14.11.51) (Lysine-specific demethylase ALKBH4) (EC 1.14.11.-)"
"146","GO:0086045",0.00667300064543184,1,1,1,"membrane depolarization during AV node cell action potential","BP",NA,NA,NA,"PGEN_.00g252700","Q9ESQ5","TRPM4_RAT","Transient receptor potential cation channel subfamily M member 4 (Calcium-activated non-selective cation channel 1) (Long transient receptor potential channel 4) (LTrpC-4) (LTrpC4) (MLS2s) (Melastatin-like 2)"
"147","GO:0086047",0.00667300064543184,1,1,1,"membrane depolarization during Purkinje myocyte cell action potential","BP",NA,NA,NA,"PGEN_.00g252700","Q9ESQ5","TRPM4_RAT","Transient receptor potential cation channel subfamily M member 4 (Calcium-activated non-selective cation channel 1) (Long transient receptor potential channel 4) (LTrpC-4) (LTrpC4) (MLS2s) (Melastatin-like 2)"
"148","GO:0086048",0.00667300064543184,1,1,1,"membrane depolarization during bundle of His cell action potential","BP",NA,NA,NA,"PGEN_.00g252700","Q9ESQ5","TRPM4_RAT","Transient receptor potential cation channel subfamily M member 4 (Calcium-activated non-selective cation channel 1) (Long transient receptor potential channel 4) (LTrpC-4) (LTrpC4) (MLS2s) (Melastatin-like 2)"
"149","GO:1903949",0.00667300064543184,1,1,1,"positive regulation of atrial cardiac muscle cell action potential","BP",NA,NA,NA,"PGEN_.00g252700","Q9ESQ5","TRPM4_RAT","Transient receptor potential cation channel subfamily M member 4 (Calcium-activated non-selective cation channel 1) (Long transient receptor potential channel 4) (LTrpC-4) (LTrpC4) (MLS2s) (Melastatin-like 2)"
"150","GO:1904199",0.00667300064543184,1,1,1,"positive regulation of regulation of vascular associated smooth muscle cell membrane depolarization","BP",NA,NA,NA,"PGEN_.00g252700","Q9ESQ5","TRPM4_RAT","Transient receptor potential cation channel subfamily M member 4 (Calcium-activated non-selective cation channel 1) (Long transient receptor potential channel 4) (LTrpC-4) (LTrpC4) (MLS2s) (Melastatin-like 2)"
"151","GO:0071635",0.0078819923351325,1,1,1,"negative regulation of transforming growth factor beta production","BP",NA,NA,NA,"PGEN_.00g211830","P16056","MET_MOUSE","Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)"
"152","GO:1901299",0.0078819923351325,1,1,1,"negative regulation of hydrogen peroxide-mediated programmed cell death","BP",NA,NA,NA,"PGEN_.00g211830","P16056","MET_MOUSE","Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)"
"153","GO:0098911",0.00912600268649794,0.999979275768795,1,2,"regulation of ventricular cardiac muscle cell action potential","BP",NA,NA,NA,"PGEN_.00g252700","Q9ESQ5","TRPM4_RAT","Transient receptor potential cation channel subfamily M member 4 (Calcium-activated non-selective cation channel 1) (Long transient receptor potential channel 4) (LTrpC-4) (LTrpC4) (MLS2s) (Melastatin-like 2)"
"154","GO:0071774",0.0103188886304862,1,1,1,"response to fibroblast growth factor","BP",NA,NA,NA,"PGEN_.00g149640","Q80YX1","TENA_MOUSE","Tenascin (TN) (Hexabrachion) (Tenascin-C) (TN-C)"
"155","GO:0071799",0.0103188886304862,1,1,1,"cellular response to prostaglandin D stimulus","BP",NA,NA,NA,"PGEN_.00g149640","Q80YX1","TENA_MOUSE","Tenascin (TN) (Hexabrachion) (Tenascin-C) (TN-C)"
"156","GO:0061025",0.0110481833320795,0.999969596509841,1,2,"membrane fusion","BP",NA,NA,NA,"PGEN_.00g043300","Q07076","ANXA7_MOUSE","Annexin A7 (Annexin VII) (Annexin-7) (Synexin)"
"157","GO:0072710",0.011136691174458,0.999969106037932,1,2,"response to hydroxyurea","BP",NA,NA,NA,"PGEN_.00g024960","Q6BK42","DDI1_DEBHA","DNA damage-inducible protein 1 (EC 3.4.23.-)"
"158","GO:0086003",0.0114977974029095,1,1,1,"cardiac muscle cell contraction","BP",NA,NA,NA,"PGEN_.00g277910","Q61165","SL9A1_MOUSE","Sodium/hydrogen exchanger 1 (Na(+)/H(+) exchanger 1) (NHE-1) (Solute carrier family 9 member 1)"
"159","GO:0086092",0.0114977974029095,1,1,1,"regulation of the force of heart contraction by cardiac conduction","BP",NA,NA,NA,"PGEN_.00g277910","Q61165","SL9A1_MOUSE","Sodium/hydrogen exchanger 1 (Na(+)/H(+) exchanger 1) (NHE-1) (Solute carrier family 9 member 1)"
"160","GO:1903281",0.0114977974029095,1,1,1,"positive regulation of calcium:sodium antiporter activity","BP",NA,NA,NA,"PGEN_.00g277910","Q61165","SL9A1_MOUSE","Sodium/hydrogen exchanger 1 (Na(+)/H(+) exchanger 1) (NHE-1) (Solute carrier family 9 member 1)"
"161","GO:2000290",0.0116580902728822,1,1,1,"regulation of myotome development","BP",NA,NA,NA,"PGEN_.00g062630","A0JMD4","TPC2_DANRE","Two pore calcium channel protein 2 (Voltage-dependent calcium channel protein TPC2)"
"162","GO:1905344",0.0118612610718957,1,1,1,"prostaglandin catabolic process","BP",NA,NA,NA,"PGEN_.00g279730","Q5R6S0","ABHGA_PONAB","Phosphatidylserine lipase ABHD16A (EC 3.1.-.-) (Alpha/beta hydrolase domain-containing protein 16A) (Abhydrolase domain-containing protein 16A) (HLA-B-associated transcript 5 homolog) (Monoacylglycerol lipase ABHD16A) (EC 3.1.1.23)"
"163","GO:0075523",0.0131088308312884,1,1,1,"viral translational frameshifting","BP",NA,NA,NA,"PGEN_.00g203340","Q32L09","SHFL_BOVIN","Shiftless antiviral inhibitor of ribosomal frameshifting protein homolog (SHFL) (Repressor of yield of DENV protein homolog) (RyDEN)"
"164","GO:2001125",0.0131088308312884,1,1,1,"negative regulation of translational frameshifting","BP",NA,NA,NA,"PGEN_.00g203340","Q32L09","SHFL_BOVIN","Shiftless antiviral inhibitor of ribosomal frameshifting protein homolog (SHFL) (Repressor of yield of DENV protein homolog) (RyDEN)"
