"","GO.IDs","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","Cat","GO.Slim.Term","gene","uniprot","uniprot_taxa.id","uniprot.name"
"85","GO:0034513",0.0448932646168911,0.999485703872948,1,2,"box H/ACA snoRNA binding","MF","F","nucleic acid binding activity","PGEN_.00g054230","Q9CY66","GAR1_MOUSE","H/ACA ribonucleoprotein complex subunit 1 (Nucleolar protein family A member 1) (snoRNP protein GAR1)"
"86","GO:0010314",0.00667324603469701,0.99982119795513,2,5,"phosphatidylinositol-5-phosphate binding","MF","F","other molecular function","PGEN_.00g329100; PGEN_.00g127530","Q80UK0; Q9Z1L4","SESD1_MOUSE; XLRS1_MOUSE","SEC14 domain and spectrin repeat-containing protein 1 (Huntingtin-interacting protein-like protein); Retinoschisin (X-linked juvenile retinoschisis protein homolog)"
"87","GO:0043325",0.00758121517793576,0.999406724408046,3,11,"phosphatidylinositol-3,4-bisphosphate binding","MF","F","other molecular function","PGEN_.00g329100; PGEN_.00g343270; PGEN_.00g127530","Q80UK0; P54939; Q9Z1L4","SESD1_MOUSE; TLN1_CHICK; XLRS1_MOUSE","SEC14 domain and spectrin repeat-containing protein 1 (Huntingtin-interacting protein-like protein); Talin-1; Retinoschisin (X-linked juvenile retinoschisis protein homolog)"
"88","GO:0004652",0.0083087161090071,0.999750393425067,2,5,"polynucleotide adenylyltransferase activity","MF","F","other molecular function","PGEN_.00g017640; PGEN_.00g179200","Q6PCL9; Q68ED3","PAPOG_MOUSE; PAPD5_MOUSE","Poly(A) polymerase gamma (PAP-gamma) (EC 2.7.7.19) (Polynucleotide adenylyltransferase gamma) (SRP RNA 3'-adenylating enzyme) (Signal recognition particle RNA-adenylating enzyme) (SRP RNA-adenylating enzyme); Terminal nucleotidyltransferase 4B (Non-canonical poly(A) RNA polymerase PAPD5) (EC 2.7.7.19) (PAP-associated domain-containing protein 5) (Terminal guanylyltransferase) (EC 2.7.7.-) (Terminal uridylyltransferase 3) (TUTase 3) (Topoisomerase-related function protein 4-2) (TRF4-2)"
"89","GO:0080025",0.0120700327798155,0.998820151265877,3,14,"phosphatidylinositol-3,5-bisphosphate binding","MF","F","other molecular function","PGEN_.00g329100; PGEN_.00g343270; PGEN_.00g127530","Q80UK0; P54939; Q9Z1L4","SESD1_MOUSE; TLN1_CHICK; XLRS1_MOUSE","SEC14 domain and spectrin repeat-containing protein 1 (Huntingtin-interacting protein-like protein); Talin-1; Retinoschisin (X-linked juvenile retinoschisis protein homolog)"
"90","GO:0045295",0.0138928523319416,0.998514204153472,3,18,"gamma-catenin binding","MF","F","other molecular function","PGEN_.00g101900; PGEN_.00g240170; PGEN_.00g093280","P35822; Q99M80; Q15262","PTPRK_MOUSE; PTPRT_MOUSE; PTPRK_HUMAN","Receptor-type tyrosine-protein phosphatase kappa (Protein-tyrosine phosphatase kappa) (R-PTP-kappa) (EC 3.1.3.48); Receptor-type tyrosine-protein phosphatase T (R-PTP-T) (EC 3.1.3.48) (RPTPmam4) (Receptor-type tyrosine-protein phosphatase rho) (RPTP-rho) (mRPTPrho); Receptor-type tyrosine-protein phosphatase kappa (Protein-tyrosine phosphatase kappa) (R-PTP-kappa) (EC 3.1.3.48)"
"91","GO:0033819",0.0215344244765181,1,1,1,"lipoyl(octanoyl) transferase activity","MF","F","other molecular function","PGEN_.00g236910","Q9VN27","LIPT2_DROME","Putative lipoyltransferase 2, mitochondrial (EC 2.3.1.181) (Lipoate-protein ligase B) (Lipoyl/octanoyl transferase) (Octanoyl-[acyl-carrier-protein]-protein N-octanoyltransferase)"
"92","GO:0032795",0.0215344244765181,1,1,1,"heterotrimeric G-protein binding","MF","F","other molecular function","PGEN_.00g102230","Q9R1K9","CETN2_MOUSE","Centrin-2 (Caltractin isoform 1)"
"93","GO:0047560",0.0215344301496066,1,1,1,"3-dehydrosphinganine reductase activity","MF","F","other molecular function","PGEN_.00g178150","Q06136","KDSR_HUMAN","3-ketodihydrosphingosine reductase (KDS reductase) (EC 1.1.1.102) (3-dehydrosphinganine reductase) (Follicular variant translocation protein 1) (FVT-1) (Short chain dehydrogenase/reductase family 35C member 1)"
"94","GO:0050358",0.0215347684234734,1,1,1,"tropinone reductase activity","MF","F","other molecular function","PGEN_.00g279140","P50164","TRN2_HYONI","Tropinone reductase 2 (EC 1.1.1.236) (Tropinone reductase II) (TR-II)"
"95","GO:0004092",0.0215914916652164,1,1,1,"carnitine O-acetyltransferase activity","MF","F","other molecular function","PGEN_.00g294230","Q704S8","CACP_RAT","Carnitine O-acetyltransferase (Carnitine acetylase) (EC 2.3.1.7) (Carnitine acetyltransferase) (CAT) (CrAT)"
"96","GO:0003960",0.0216342849379815,1,1,1,"NADPH:quinone reductase activity","MF","F","other molecular function","PGEN_.00g279720","O97764","QOR_BOVIN","Zeta-crystallin"
"97","GO:0070224",0.0267556766694274,1,1,1,"sulfide:quinone oxidoreductase activity","MF","F","other molecular function","PGEN_.00g150990","Q9Y6N5","SQOR_HUMAN","Sulfide:quinone oxidoreductase, mitochondrial (SQOR) (EC 1.8.5.-) (Sulfide dehydrogenase-like) (Sulfide quinone oxidoreductase)"
"98","GO:0004123",0.0305235522037138,1,1,1,"cystathionine gamma-lyase activity","MF","F","other molecular function","PGEN_.00g186780","Q58DW2","CGL_BOVIN","Cystathionine gamma-lyase (EC 4.4.1.1) (Cysteine-protein sulfhydrase) (Gamma-cystathionase)"
"99","GO:0016846",0.0305235522037138,1,1,1,"carbon-sulfur lyase activity","MF","F","other molecular function","PGEN_.00g186780","Q58DW2","CGL_BOVIN","Cystathionine gamma-lyase (EC 4.4.1.1) (Cysteine-protein sulfhydrase) (Gamma-cystathionase)"
"100","GO:0044540",0.0305235522037138,1,1,1,"L-cystine L-cysteine-lyase (deaminating)","MF","F","other molecular function","PGEN_.00g186780","Q58DW2","CGL_BOVIN","Cystathionine gamma-lyase (EC 4.4.1.1) (Cysteine-protein sulfhydrase) (Gamma-cystathionase)"
"101","GO:0004055",0.0308391659152597,1,1,1,"argininosuccinate synthase activity","MF","F","other molecular function","PGEN_.00g279150","Q11D10","ASSY_CHESB","Argininosuccinate synthase (EC 6.3.4.5) (Citrulline--aspartate ligase)"
"102","GO:0070568",0.0323020558982373,1,1,1,"guanylyltransferase activity","MF","F","other molecular function","PGEN_.00g179200","Q68ED3","PAPD5_MOUSE","Terminal nucleotidyltransferase 4B (Non-canonical poly(A) RNA polymerase PAPD5) (EC 2.7.7.19) (PAP-associated domain-containing protein 5) (Terminal guanylyltransferase) (EC 2.7.7.-) (Terminal uridylyltransferase 3) (TUTase 3) (Topoisomerase-related function protein 4-2) (TRF4-2)"
"103","GO:0004411",0.0330556674961615,1,1,1,"homogentisate 1,2-dioxygenase activity","MF","F","other molecular function","PGEN_.00g060400","Q93099","HGD_HUMAN","Homogentisate 1,2-dioxygenase (EC 1.13.11.5) (Homogentisate oxygenase) (Homogentisic acid oxidase) (Homogentisicase)"
"104","GO:0008897",0.0335879226793047,1,1,1,"holo-[acyl-carrier-protein] synthase activity","MF","F","other molecular function","PGEN_.00g078480","Q6DJH2","ADPPT_XENLA","L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase (EC 2.7.8.7) (4'-phosphopantetheinyl transferase) (Alpha-aminoadipic semialdehyde dehydrogenase-phosphopantetheinyl transferase) (AASD-PPT)"
"105","GO:0004617",0.0338489029182761,1,1,1,"phosphoglycerate dehydrogenase activity","MF","F","other molecular function","PGEN_.00g273600","O08651","SERA_RAT","D-3-phosphoglycerate dehydrogenase (3-PGDH) (EC 1.1.1.95)"
"106","GO:0032266",0.0364202419399308,0.994303197114928,3,20,"phosphatidylinositol-3-phosphate binding","MF","F","other molecular function","PGEN_.00g329100; PGEN_.00g192760; PGEN_.00g127530","Q80UK0; Q96L92; Q9Z1L4","SESD1_MOUSE; SNX27_HUMAN; XLRS1_MOUSE","SEC14 domain and spectrin repeat-containing protein 1 (Huntingtin-interacting protein-like protein); Sorting nexin-27; Retinoschisin (X-linked juvenile retinoschisis protein homolog)"
"107","GO:0070273",0.0366568049566221,0.996974312763188,2,10,"phosphatidylinositol-4-phosphate binding","MF","F","other molecular function","PGEN_.00g329100; PGEN_.00g127530","Q80UK0; Q9Z1L4","SESD1_MOUSE; XLRS1_MOUSE","SEC14 domain and spectrin repeat-containing protein 1 (Huntingtin-interacting protein-like protein); Retinoschisin (X-linked juvenile retinoschisis protein homolog)"
"108","GO:0008061",0.040377927292897,0.993181932980366,3,31,"chitin binding","MF","F","other molecular function","PGEN_.00g031560; PGEN_.00g101850; PGEN_.00g312900","Q95LU3; Q6AX44; Q6AX44","FBCD1_MACFA; FBCDA_XENLA; FBCDA_XENLA","Fibrinogen C domain-containing protein 1; Fibrinogen C domain-containing protein 1-A; Fibrinogen C domain-containing protein 1-A"
"109","GO:0005502",0.0426061698804681,0.999537319584266,1,2,"11-cis retinal binding","MF","F","other molecular function","PGEN_.00g072260","Q5XXP2","OPN4_PHOSU","Melanopsin (Opsin-4)"
"110","GO:0008940",0.0426064462620249,0.999537313515321,1,2,"nitrate reductase activity","MF","F","other molecular function","PGEN_.00g028020","Q1LZH1","MARC2_BOVIN","Mitochondrial amidoxime reducing component 2 (mARC2) (EC 1.7.-.-) (Molybdenum cofactor sulfurase C-terminal domain-containing protein 2) (MOSC domain-containing protein 2) (Moco sulfurase C-terminal domain-containing protein 2)"
"111","GO:0000010",0.0426566374303885,0.999536210714184,1,2,"trans-hexaprenyltranstransferase activity","MF","F","other molecular function","PGEN_.00g069590","Q5U2R1","DLP1_RAT","Decaprenyl-diphosphate synthase subunit 2 (EC 2.5.1.91) (All-trans-decaprenyl-diphosphate synthase subunit 2) (Decaprenyl pyrophosphate synthase subunit 2)"
"112","GO:0050347",0.0426566374303885,0.999536210714184,1,2,"trans-octaprenyltranstransferase activity","MF","F","other molecular function","PGEN_.00g069590","Q5U2R1","DLP1_RAT","Decaprenyl-diphosphate synthase subunit 2 (EC 2.5.1.91) (All-trans-decaprenyl-diphosphate synthase subunit 2) (Decaprenyl pyrophosphate synthase subunit 2)"
"113","GO:0008374",0.044033999127036,0.999505423318631,1,2,"O-acyltransferase activity","MF","F","other molecular function","PGEN_.00g169510","Q8NCC3","PAG15_HUMAN","Group XV phospholipase A2 (EC 2.3.1.-) (1-O-acylceramide synthase) (ACS) (LCAT-like lysophospholipase) (LLPL) (Lysophospholipase 3) (Lysosomal phospholipase A2) (LPLA2)"
"114","GO:0008425",0.0444127057150346,0.999496780910902,1,2,"2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity","MF","F","other molecular function","PGEN_.00g108510","B0KTX4","UBIG_PSEPG","Ubiquinone biosynthesis O-methyltransferase (2-polyprenyl-6-hydroxyphenol methylase) (EC 2.1.1.222) (3-demethylubiquinone 3-O-methyltransferase) (EC 2.1.1.64)"
"115","GO:0008689",0.0444127057150346,0.999496780910902,1,2,"3-demethylubiquinone-9 3-O-methyltransferase activity","MF","F","other molecular function","PGEN_.00g108510","B0KTX4","UBIG_PSEPG","Ubiquinone biosynthesis O-methyltransferase (2-polyprenyl-6-hydroxyphenol methylase) (EC 2.1.1.222) (3-demethylubiquinone 3-O-methyltransferase) (EC 2.1.1.64)"
"116","GO:0008139",0.046289520975523,0.995528109861444,2,12,"nuclear localization sequence binding","MF","F","other molecular function","PGEN_.00g329020; PGEN_.00g002480","P70168; Q8BFY9","IMB1_MOUSE; TNPO1_MOUSE","Importin subunit beta-1 (Karyopherin subunit beta-1) (Nuclear factor p97) (Pore targeting complex 97 kDa subunit) (PTAC97) (SCG); Transportin-1 (Importin beta-2) (Karyopherin beta-2)"
"117","GO:0052899",0.0464759729867295,1,1,1,"N(1),N(12)-diacetylspermine:oxygen oxidoreductase (3-acetamidopropanal-forming) activity","MF","F","other molecular function","PGEN_.00g243110","Q6QHF9","PAOX_HUMAN","Peroxisomal N(1)-acetyl-spermine/spermidine oxidase (EC 1.5.3.13) (Polyamine oxidase)"
"118","GO:0052902",0.0464759729867295,1,1,1,"spermidine:oxygen oxidoreductase (3-aminopropanal-forming) activity","MF","F","other molecular function","PGEN_.00g243110","Q6QHF9","PAOX_HUMAN","Peroxisomal N(1)-acetyl-spermine/spermidine oxidase (EC 1.5.3.13) (Polyamine oxidase)"
"119","GO:0052903",0.0464759729867295,1,1,1,"N1-acetylspermine:oxygen oxidoreductase (3-acetamidopropanal-forming) activity","MF","F","other molecular function","PGEN_.00g243110","Q6QHF9","PAOX_HUMAN","Peroxisomal N(1)-acetyl-spermine/spermidine oxidase (EC 1.5.3.13) (Polyamine oxidase)"
"120","GO:0052904",0.0464759729867295,1,1,1,"N1-acetylspermidine:oxygen oxidoreductase (3-acetamidopropanal-forming) activity","MF","F","other molecular function","PGEN_.00g243110","Q6QHF9","PAOX_HUMAN","Peroxisomal N(1)-acetyl-spermine/spermidine oxidase (EC 1.5.3.13) (Polyamine oxidase)"
"121","GO:0030791",0.0468342057367842,0.999439707562189,1,2,"arsenite methyltransferase activity","MF","F","other molecular function","PGEN_.00g091750","Q8VHT6","AS3MT_RAT","Arsenite methyltransferase (EC 2.1.1.137) (Methylarsonite methyltransferase) (S-adenosyl-L-methionine:arsenic(III) methyltransferase)"
"122","GO:0016758",0.0469442830192792,1,1,1,"transferase activity, transferring hexosyl groups","MF","F","other molecular function","PGEN_.00g171650","Q66IJ4","PIGM_XENTR","GPI mannosyltransferase 1 (EC 2.4.1.-) (GPI mannosyltransferase I) (GPI-MT-I) (Phosphatidylinositol-glycan biosynthesis class M protein) (PIG-M)"
"123","GO:0005507",0.0478868879820118,0.988282952959724,4,52,"copper ion binding","MF","F","other molecular function","PGEN_.00g283380; PGEN_.00g279740; PGEN_.00g206240; PGEN_.00g027930","Q9XTQ6; Q5TZ24; J9VY90; Q2M2S5","TBH1_CAEEL; MOXD1_DANRE; LAC1_CRYNH; COA6_BOVIN","Tyramine beta-hydroxylase (EC 1.14.17.-); DBH-like monooxygenase protein 1 homolog (EC 1.14.17.-); Laccase-1 (EC 1.10.3.2) (Diphenol oxidase 1); Cytochrome c oxidase assembly factor 6 homolog"
"124","GO:0050700",0.0493779987589912,1,1,1,"CARD domain binding","MF","F","other molecular function","PGEN_.00g045860","Q8CIS0","CAR11_MOUSE","Caspase recruitment domain-containing protein 11"
"125","GO:0008020",0.0426061698804681,0.999537319584266,1,2,"G protein-coupled photoreceptor activity","MF","F","signal transduction activity","PGEN_.00g072260","Q5XXP2","OPN4_PHOSU","Melanopsin (Opsin-4)"
"126","GO:0015347",0.0187883976904748,0.998940001779056,2,9,"sodium-independent organic anion transmembrane transporter activity","MF","F","transporter activity","PGEN_.00g022020; PGEN_.00g110470","Q8BGD4; Q8BGD4","SO4C1_MOUSE; SO4C1_MOUSE","Solute carrier organic anion transporter family member 4C1 (Oatp-R) (Solute carrier family 21 member 20); Solute carrier organic anion transporter family member 4C1 (Oatp-R) (Solute carrier family 21 member 20)"
"127","GO:0008514",0.0328922136416168,0.997398275267161,2,11,"organic anion transmembrane transporter activity","MF","F","transporter activity","PGEN_.00g022020; PGEN_.00g110470","Q8BGD4; Q8BGD4","SO4C1_MOUSE; SO4C1_MOUSE","Solute carrier organic anion transporter family member 4C1 (Oatp-R) (Solute carrier family 21 member 20); Solute carrier organic anion transporter family member 4C1 (Oatp-R) (Solute carrier family 21 member 20)"
"128","GO:0017128",0.0447876303073743,0.996062822068256,2,8,"phospholipid scramblase activity","MF","F","transporter activity","PGEN_.00g319570; PGEN_.00g077330","Q14AT5; Q8C5H1","ANO7_MOUSE; ANO4_MOUSE","Anoctamin-7 (New gene expressed in prostate homolog) (Transmembrane protein 16G); Anoctamin-4 (Transmembrane protein 16D)"
"129","GO:0102555",0.0215344244765181,1,1,1,"octanoyl transferase activity (acting on glycine-cleavage complex H protein)","MF",NA,NA,"PGEN_.00g236910","Q9VN27","LIPT2_DROME","Putative lipoyltransferase 2, mitochondrial (EC 2.3.1.181) (Lipoate-protein ligase B) (Lipoyl/octanoyl transferase) (Octanoyl-[acyl-carrier-protein]-protein N-octanoyltransferase)"
"130","GO:0061608",0.0287031975590886,0.997967807100288,2,9,"nuclear import signal receptor activity","MF",NA,NA,"PGEN_.00g329020; PGEN_.00g002480","P70168; Q8BFY9","IMB1_MOUSE; TNPO1_MOUSE","Importin subunit beta-1 (Karyopherin subunit beta-1) (Nuclear factor p97) (Pore targeting complex 97 kDa subunit) (PTAC97) (SCG); Transportin-1 (Importin beta-2) (Karyopherin beta-2)"
"131","GO:0102524",0.0305654731341513,1,1,1,"tRNAPhe (7-(3-amino-3-carboxypropyl)wyosine37-C2)-hydroxylase activity","MF",NA,NA,"PGEN_.00g062410","E1C7T6","TYW5_CHICK","tRNA wybutosine-synthesizing protein 5 (EC 1.14.11.42) (tRNA(Phe) (7-(3-amino-3-carboxypropyl)wyosine(37)-C(2))-hydroxylase)"
"132","GO:1902051",0.0430803742408247,1,1,1,"(25S)-Delta(4)-dafachronate binding","MF",NA,NA,"PGEN_.00g110700","G5EFF5","DAF12_CAEEL","Nuclear hormone receptor family member daf-12 (Abnormal dauer formation protein 12)"
"133","GO:1902052",0.0430803742408247,1,1,1,"(25S)-Delta(7)-dafachronate binding","MF",NA,NA,"PGEN_.00g110700","G5EFF5","DAF12_CAEEL","Nuclear hormone receptor family member daf-12 (Abnormal dauer formation protein 12)"
