"gene"	"adj.pval.Initial.Treatment"	"scaffold"	"start"	"end"	"uniprot.id"	"uniprot_taxa.id"	"Uniprot.Name"	"GO.IDs"	"GO.Descript"
"PGEN_.00g330000"	7.00984039979675e-05	"Scaffold_17"	8152259	8154341	NA	NA	NA	NA	NA
"PGEN_.00g159230"	7.01581607596935e-05	"Scaffold_07"	17543241	17543984	NA	NA	NA	NA	NA
"PGEN_.00g169760"	7.18757267921675e-05	"Scaffold_08"	3845318	3949567	"Q03626"	"MUG1_RAT"	"Murinoglobulin-1 (Alpha-1 inhibitor 3 variant I) (Alpha-X protein)"	"GO:0002020; GO:0004866; GO:0004867; GO:0005615; GO:0006953; GO:0006954; GO:0007566; GO:0030414"	"extracellular space [GO:0005615]; endopeptidase inhibitor activity [GO:0004866]; peptidase inhibitor activity [GO:0030414]; protease binding [GO:0002020]; serine-type endopeptidase inhibitor activity [GO:0004867]; acute-phase response [GO:0006953]; embryo implantation [GO:0007566]; inflammatory response [GO:0006954]"
"PGEN_.00g210000"	7.45346832346055e-05	"Scaffold_10"	16059068	16059499	NA	NA	NA	NA	NA
"PGEN_.00g043860"	7.47185328235551e-05	"Scaffold_02"	30172524	30282050	"A2AVA0"	"SVEP1_MOUSE"	"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 (Polydom)"	"GO:0003682; GO:0005509; GO:0005576; GO:0005615; GO:0005737; GO:0007155; GO:0016020"	"cytoplasm [GO:0005737]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; membrane [GO:0016020]; calcium ion binding [GO:0005509]; chromatin binding [GO:0003682]; cell adhesion [GO:0007155]"
"PGEN_.00g275820"	7.47185328235551e-05	"Scaffold_14"	82835	88063	"Q54F11"	"HBX3_DICDI"	"Homeobox protein 3 (DdHbx-3)"	"GO:0003677; GO:0005634; GO:0006355; GO:0007275"	"nucleus [GO:0005634]; DNA binding [GO:0003677]; multicellular organism development [GO:0007275]; regulation of transcription, DNA-templated [GO:0006355]"
"PGEN_.00g260930"	7.86001446657854e-05	"Scaffold_13"	3070077	3070742	NA	NA	NA	NA	NA
"PGEN_.00g035540"	7.87940439232554e-05	"Scaffold_02"	6652464	6655785	NA	NA	NA	NA	NA
"PGEN_.00g185410"	7.95238200811693e-05	"Scaffold_08"	45725536	45727171	NA	NA	NA	NA	NA
"PGEN_.00g332320"	8.04119976191521e-05	"Scaffold_17"	15762615	15768420	"Q05084"	"ICA69_HUMAN"	"Islet cell autoantigen 1 (69 kDa islet cell autoantigen) (ICA69) (Islet cell autoantigen p69) (ICAp69) (p69)"	"GO:0000139; GO:0005737; GO:0005829; GO:0006836; GO:0019904; GO:0030054; GO:0030667; GO:0030672; GO:0043231; GO:0050796"	"cell junction [GO:0030054]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; Golgi membrane [GO:0000139]; intracellular membrane-bounded organelle [GO:0043231]; secretory granule membrane [GO:0030667]; synaptic vesicle membrane [GO:0030672]; protein domain specific binding [GO:0019904]; neurotransmitter transport [GO:0006836]; regulation of insulin secretion [GO:0050796]"
"PGEN_.00g178040"	8.11044403864299e-05	"Scaffold_08"	27273100	27296031	"Q8R4E1"	"TIP_RAT"	"T-cell immunomodulatory protein (Protein TIP) (CDA08-like protein) (Integrin-alpha FG-GAP repeat-containing protein 1) (Linkin)"	"GO:0005576; GO:0005886; GO:0016021"	"extracellular region [GO:0005576]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]"
"PGEN_.00g270570"	8.42177377949613e-05	"Scaffold_13"	29642153	29663064	"Q9JJZ4"	"UB2J1_MOUSE"	"Ubiquitin-conjugating enzyme E2 J1 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme J1) (Non-canonical ubiquitin-conjugating enzyme 1) (NCUBE-1)"	"GO:0005524; GO:0005789; GO:0007286; GO:0016021; GO:0018279; GO:0030433; GO:0031625; GO:0042534; GO:0061631; GO:1904153"	"endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; ubiquitin conjugating enzyme activity [GO:0061631]; ubiquitin protein ligase binding [GO:0031625]; negative regulation of retrograde protein transport, ER to cytosol [GO:1904153]; protein N-linked glycosylation via asparagine [GO:0018279]; regulation of tumor necrosis factor biosynthetic process [GO:0042534]; spermatid development [GO:0007286]; ubiquitin-dependent ERAD pathway [GO:0030433]"
"PGEN_.00g175420"	8.54123496248037e-05	"Scaffold_08"	19752162	19752683	NA	NA	NA	NA	NA
"PGEN_.00g304170"	8.54123496248037e-05	"Scaffold_15"	18153244	18175524	"Q9NSC2"	"SALL1_HUMAN"	"Sal-like protein 1 (Spalt-like transcription factor 1) (Zinc finger protein 794) (Zinc finger protein SALL1) (Zinc finger protein Spalt-1) (HSal1) (Sal-1)"	"GO:0000122; GO:0000792; GO:0000978; GO:0001227; GO:0001657; GO:0001658; GO:0001822; GO:0003281; GO:0003337; GO:0003677; GO:0003700; GO:0005634; GO:0005654; GO:0005737; GO:0006355; GO:0007507; GO:0008013; GO:0008406; GO:0010369; GO:0021553; GO:0021889; GO:0021983; GO:0030177; GO:0030325; GO:0031129; GO:0035019; GO:0042473; GO:0042733; GO:0045892; GO:0045893; GO:0045944; GO:0046872; GO:0048566; GO:0060173; GO:0061034; GO:0072073; GO:0072092"	"chromocenter [GO:0010369]; cytoplasm [GO:0005737]; heterochromatin [GO:0000792]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; beta-catenin binding [GO:0008013]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; metal ion binding [GO:0046872]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; adrenal gland development [GO:0030325]; branching involved in ureteric bud morphogenesis [GO:0001658]; embryonic digestive tract development [GO:0048566]; embryonic digit morphogenesis [GO:0042733]; gonad development [GO:0008406]; heart development [GO:0007507]; inductive cell-cell signaling [GO:0031129]; kidney development [GO:0001822]; kidney epithelium development [GO:0072073]; limb development [GO:0060173]; mesenchymal to epithelial transition involved in metanephros morphogenesis [GO:0003337]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transcription, DNA-templated [GO:0045892]; olfactory bulb interneuron differentiation [GO:0021889]; olfactory bulb mitral cell layer development [GO:0061034]; olfactory nerve development [GO:0021553]; outer ear morphogenesis [GO:0042473]; pituitary gland development [GO:0021983]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of Wnt signaling pathway [GO:0030177]; regulation of transcription, DNA-templated [GO:0006355]; somatic stem cell population maintenance [GO:0035019]; ureteric bud development [GO:0001657]; ureteric bud invasion [GO:0072092]; ventricular septum development [GO:0003281]"
"PGEN_.00g203340"	8.57479793176633e-05	"Scaffold_09"	36039731	36080013	"Q32L09"	"SHFL_BOVIN"	"Shiftless antiviral inhibitor of ribosomal frameshifting protein homolog (SHFL) (Repressor of yield of DENV protein homolog) (RyDEN)"	"GO:0000932; GO:0003723; GO:0005634; GO:0005737; GO:0006449; GO:0034340; GO:0034341; GO:0034342; GO:0043022; GO:0045071; GO:0051607; GO:0075523; GO:1990825; GO:2001125"	"cytoplasm [GO:0005737]; nucleus [GO:0005634]; P-body [GO:0000932]; ribosome binding [GO:0043022]; RNA binding [GO:0003723]; sequence-specific mRNA binding [GO:1990825]; defense response to virus [GO:0051607]; negative regulation of translational frameshifting [GO:2001125]; negative regulation of viral genome replication [GO:0045071]; regulation of translational termination [GO:0006449]; response to interferon-gamma [GO:0034341]; response to type I interferon [GO:0034340]; response to type III interferon [GO:0034342]; viral translational frameshifting [GO:0075523]"
"PGEN_.00g345060"	8.57479793176633e-05	"Scaffold_18"	15567921	15590035	NA	NA	NA	NA	NA
"PGEN_.00g062510"	9.4559703235022e-05	"Scaffold_03"	12837201	12842852	NA	NA	NA	NA	NA
"PGEN_.00g268980"	0.000100678977593754	"Scaffold_13"	25734364	25734847	"Q80TC5"	"POGK_MOUSE"	"Pogo transposable element with KRAB domain"	"GO:0003677; GO:0005634; GO:0006355; GO:0007275"	"nucleus [GO:0005634]; DNA binding [GO:0003677]; multicellular organism development [GO:0007275]; regulation of transcription, DNA-templated [GO:0006355]"
"PGEN_.00g326270"	0.000102961718963399	"Scaffold_16"	29036015	29049629	NA	NA	NA	NA	NA
"PGEN_.00g303350"	0.000103232731324081	"Scaffold_15"	15707279	15747260	"Q6NV12"	"S20AA_DANRE"	"Sodium-dependent phosphate transporter 1-A (Solute carrier family 20 member 1-A)"	"GO:0005315; GO:0005887; GO:0015319; GO:0035435"	"integral component of plasma membrane [GO:0005887]; inorganic phosphate transmembrane transporter activity [GO:0005315]; sodium:inorganic phosphate symporter activity [GO:0015319]; phosphate ion transmembrane transport [GO:0035435]"
"PGEN_.00g108490"	0.00010686309429131	"Scaffold_05"	11321164	11322981	NA	NA	NA	NA	NA
"PGEN_.00g262010"	0.00011588488130067	"Scaffold_13"	6213093	6235880	"P55006"	"RDH7_RAT"	"Retinol dehydrogenase 7 (EC 1.1.1.105) (Retinol dehydrogenase 3) (Retinol dehydrogenase type III) (RODH III)"	"GO:0004745; GO:0005783; GO:0042572"	"endoplasmic reticulum [GO:0005783]; retinol dehydrogenase activity [GO:0004745]; retinol metabolic process [GO:0042572]"
"PGEN_.00g186290"	0.000118694755792296	"Scaffold_08"	47925610	47932879	NA	NA	NA	NA	NA
"PGEN_.00g288770"	0.000120481922978173	"Scaffold_14"	29002502	29018612	NA	NA	NA	NA	NA
"PGEN_.00g241500"	0.000120578624420251	"Scaffold_11"	49013433	49014510	NA	NA	NA	NA	NA
"PGEN_.00g160000"	0.000123232915570089	"Scaffold_07"	20354600	20366593	"C3Z1P5"	"RU1C_BRAFL"	"U1 small nuclear ribonucleoprotein C (U1 snRNP C) (U1-C) (U1C)"	"GO:0000243; GO:0000387; GO:0000395; GO:0003729; GO:0005685; GO:0008270; GO:0030619; GO:0030627; GO:0071004"	"commitment complex [GO:0000243]; U1 snRNP [GO:0005685]; U2-type prespliceosome [GO:0071004]; mRNA binding [GO:0003729]; pre-mRNA 5'-splice site binding [GO:0030627]; U1 snRNA binding [GO:0030619]; zinc ion binding [GO:0008270]; mRNA 5'-splice site recognition [GO:0000395]; spliceosomal snRNP assembly [GO:0000387]"
"PGEN_.00g310170"	0.000123489005901368	"Scaffold_15"	33766103	33767228	NA	NA	NA	NA	NA
"PGEN_.00g123200"	0.00012904176899695	"Scaffold_05"	52305116	52340542	"D3YXG0"	"HMCN1_MOUSE"	"Hemicentin-1 (Fibulin-6) (FIBL-6)"	"GO:0005509; GO:0005576; GO:0005604; GO:0005913; GO:0005938; GO:0007049; GO:0007156; GO:0007157; GO:0009617; GO:0030054; GO:0032154; GO:0038023; GO:0042803; GO:0050839; GO:0051301; GO:0062023"	"basement membrane [GO:0005604]; cell cortex [GO:0005938]; cell junction [GO:0030054]; cell-cell adherens junction [GO:0005913]; cleavage furrow [GO:0032154]; collagen-containing extracellular matrix [GO:0062023]; extracellular region [GO:0005576]; calcium ion binding [GO:0005509]; cell adhesion molecule binding [GO:0050839]; protein homodimerization activity [GO:0042803]; signaling receptor activity [GO:0038023]; cell cycle [GO:0007049]; cell division [GO:0051301]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; response to bacterium [GO:0009617]"
"PGEN_.00g066200"	0.000132304838708539	"Scaffold_03"	23345122	23347681	NA	NA	NA	NA	NA
"PGEN_.00g096230"	0.000133941672470567	"Scaffold_04"	46322021	46334683	NA	NA	NA	NA	NA
"PGEN_.00g163440"	0.000135902658014591	"Scaffold_07"	29263721	29273542	"Q5SVZ6"	"ZMYM1_HUMAN"	"Zinc finger MYM-type protein 1"	"GO:0000981; GO:0005634; GO:0006357; GO:0008270; GO:0022604; GO:0046983"	"nucleus [GO:0005634]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; protein dimerization activity [GO:0046983]; zinc ion binding [GO:0008270]; regulation of cell morphogenesis [GO:0022604]; regulation of transcription by RNA polymerase II [GO:0006357]"
"PGEN_.00g180720"	0.000140207106047187	"Scaffold_08"	33682745	33714855	"Q8TEL6"	"TP4AP_HUMAN"	"Short transient receptor potential channel 4-associated protein (Trp4-associated protein) (Trpc4-associated protein) (Protein TAP1) (TNF-receptor ubiquitous scaffolding/signaling protein) (Protein TRUSS)"	"GO:0005886; GO:0006511; GO:0016567; GO:0019902; GO:0031464; GO:0048820; GO:0070588"	"Cul4A-RING E3 ubiquitin ligase complex [GO:0031464]; plasma membrane [GO:0005886]; phosphatase binding [GO:0019902]; calcium ion transmembrane transport [GO:0070588]; hair follicle maturation [GO:0048820]; protein ubiquitination [GO:0016567]; ubiquitin-dependent protein catabolic process [GO:0006511]"
"PGEN_.00g129350"	0.000140670150204706	"Scaffold_06"	982390	1064756	"Q8N2E2"	"VWDE_HUMAN"	"von Willebrand factor D and EGF domain-containing protein"	"GO:0005102; GO:0005576; GO:0009986; GO:0048856"	"cell surface [GO:0009986]; extracellular region [GO:0005576]; signaling receptor binding [GO:0005102]; anatomical structure development [GO:0048856]"
"PGEN_.00g241000"	0.000141278773903065	"Scaffold_11"	47655014	47666480	"Q9NZJ4"	"SACS_HUMAN"	"Sacsin (DnaJ homolog subfamily C member 29) (DNAJC29)"	"GO:0005634; GO:0005737; GO:0005739; GO:0006457; GO:0030424; GO:0030425; GO:0030544; GO:0051087; GO:0070628; GO:0070852; GO:0090084"	"axon [GO:0030424]; cell body fiber [GO:0070852]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; chaperone binding [GO:0051087]; Hsp70 protein binding [GO:0030544]; proteasome binding [GO:0070628]; negative regulation of inclusion body assembly [GO:0090084]; protein folding [GO:0006457]"
"PGEN_.00g052930"	0.000143172749949678	"Scaffold_02"	54901352	54952370	"O60341"	"KDM1A_HUMAN"	"Lysine-specific histone demethylase 1A (EC 1.-.-.-) (BRAF35-HDAC complex protein BHC110) (Flavin-containing amine oxidase domain-containing protein 2)"	"GO:0000122; GO:0000380; GO:0000784; GO:0000790; GO:0001085; GO:0002039; GO:0002052; GO:0003682; GO:0005634; GO:0005654; GO:0005667; GO:0006357; GO:0006482; GO:0007596; GO:0008134; GO:0010569; GO:0010976; GO:0016491; GO:0019899; GO:0021987; GO:0030374; GO:0032091; GO:0032451; GO:0032452; GO:0032453; GO:0032454; GO:0032991; GO:0033169; GO:0033184; GO:0034644; GO:0034648; GO:0034720; GO:0035563; GO:0042162; GO:0042551; GO:0043392; GO:0043426; GO:0043433; GO:0043518; GO:0044212; GO:0045793; GO:0045892; GO:0045944; GO:0046098; GO:0050660; GO:0050681; GO:0051091; GO:0051572; GO:0051573; GO:0055001; GO:0060992; GO:0061752; GO:0071320; GO:0071480; GO:0120162; GO:1902166; GO:1903827; GO:1990391; GO:2000179; GO:2000648"	"DNA repair complex [GO:1990391]; nuclear chromatin [GO:0000790]; nuclear chromosome, telomeric region [GO:0000784]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; transcription factor complex [GO:0005667]; androgen receptor binding [GO:0050681]; chromatin binding [GO:0003682]; demethylase activity [GO:0032451]; enzyme binding [GO:0019899]; flavin adenine dinucleotide binding [GO:0050660]; histone demethylase activity [GO:0032452]; histone demethylase activity (H3-dimethyl-K4 specific) [GO:0034648]; histone demethylase activity (H3-K4 specific) [GO:0032453]; histone demethylase activity (H3-K9 specific) [GO:0032454]; MRF binding [GO:0043426]; nuclear receptor transcription coactivator activity [GO:0030374]; oxidoreductase activity [GO:0016491]; p53 binding [GO:0002039]; RNA polymerase II transcription factor binding [GO:0001085]; telomeric DNA binding [GO:0042162]; telomeric repeat-containing RNA binding [GO:0061752]; transcription factor binding [GO:0008134]; transcription regulatory region DNA binding [GO:0044212]; alternative mRNA splicing, via spliceosome [GO:0000380]; blood coagulation [GO:0007596]; cellular response to cAMP [GO:0071320]; cellular response to gamma radiation [GO:0071480]; cellular response to UV [GO:0034644]; cerebral cortex development [GO:0021987]; guanine metabolic process [GO:0046098]; histone H3-K4 demethylation [GO:0034720]; histone H3-K9 demethylation [GO:0033169]; muscle cell development [GO:0055001]; negative regulation of DNA binding [GO:0043392]; negative regulation of DNA damage response, signal transduction by p53 class mediator [GO:0043518]; negative regulation of DNA-binding transcription factor activity [GO:0043433]; negative regulation of histone H3-K4 methylation [GO:0051572]; negative regulation of histone H3-K9 methylation [GO:0051573]; negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:1902166]; negative regulation of protein binding [GO:0032091]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transcription, DNA-templated [GO:0045892]; neuron maturation [GO:0042551]; positive regulation of cell size [GO:0045793]; positive regulation of chromatin binding [GO:0035563]; positive regulation of cold-induced thermogenesis [GO:0120162]; positive regulation of DNA-binding transcription factor activity [GO:0051091]; positive regulation of histone ubiquitination [GO:0033184]; positive regulation of neural precursor cell proliferation [GO:2000179]; positive regulation of neuroblast proliferation [GO:0002052]; positive regulation of neuron projection development [GO:0010976]; positive regulation of stem cell proliferation [GO:2000648]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein demethylation [GO:0006482]; regulation of cellular protein localization [GO:1903827]; regulation of double-strand break repair via homologous recombination [GO:0010569]; regulation of transcription by RNA polymerase II [GO:0006357]; response to fungicide [GO:0060992]"
"PGEN_.00g085990"	0.000145351730241615	"Scaffold_04"	18631304	18642705	NA	NA	NA	NA	NA
"PGEN_.00g144010"	0.000145351730241615	"Scaffold_06"	38470229	38473298	NA	NA	NA	NA	NA
"PGEN_.00g176920"	0.000146296964972848	"Scaffold_08"	23988938	24000842	NA	NA	NA	NA	NA
"PGEN_.00g023060"	0.000146592380820778	"Scaffold_01"	63330967	63332640	"Q9UPN9"	"TRI33_HUMAN"	"E3 ubiquitin-protein ligase TRIM33 (EC 2.3.2.27) (Ectodermin homolog) (RET-fused gene 7 protein) (Protein Rfg7) (RING-type E3 ubiquitin transferase TRIM33) (Transcription intermediary factor 1-gamma) (TIF1-gamma) (Tripartite motif-containing protein 33)"	"GO:0000122; GO:0003677; GO:0004842; GO:0005634; GO:0005654; GO:0008270; GO:0016567; GO:0017015; GO:0030514; GO:0045892; GO:0070410; GO:0070412"	"nucleoplasm [GO:0005654]; nucleus [GO:0005634]; co-SMAD binding [GO:0070410]; DNA binding [GO:0003677]; R-SMAD binding [GO:0070412]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]; negative regulation of BMP signaling pathway [GO:0030514]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transcription, DNA-templated [GO:0045892]; protein ubiquitination [GO:0016567]; regulation of transforming growth factor beta receptor signaling pathway [GO:0017015]"
"PGEN_.00g148400"	0.000148480775005482	"Scaffold_06"	50680892	50687077	"Q8VCW8"	"ACSF2_MOUSE"	"Medium-chain acyl-CoA ligase ACSF2, mitochondrial (EC 6.2.1.2)"	"GO:0005524; GO:0005739; GO:0006631; GO:0031956; GO:0047760"	"mitochondrion [GO:0005739]; ATP binding [GO:0005524]; butyrate-CoA ligase activity [GO:0047760]; medium-chain fatty acid-CoA ligase activity [GO:0031956]; fatty acid metabolic process [GO:0006631]"
"PGEN_.00g280160"	0.000150721555630347	"Scaffold_14"	9678103	9687053	"Q00940"	"PEX10_PICAN"	"Peroxisome biogenesis factor 10 (Peroxin-10) (Peroxisomal biogenesis factor 10) (Peroxisome assembly protein 10) (Peroxisome assembly protein PER8)"	"GO:0005778; GO:0007031; GO:0046872"	"peroxisomal membrane [GO:0005778]; metal ion binding [GO:0046872]; peroxisome organization [GO:0007031]"
"PGEN_.00g305220"	0.000156655683479181	"Scaffold_15"	20683212	20731935	"P33450"	"FAT_DROME"	"Cadherin-related tumor suppressor (Protein fat) [Cleaved into: Ft-mito]"	"GO:0001736; GO:0001737; GO:0005509; GO:0005739; GO:0005886; GO:0005887; GO:0007156; GO:0007157; GO:0007164; GO:0007446; GO:0007447; GO:0007476; GO:0008285; GO:0009888; GO:0010629; GO:0016021; GO:0016324; GO:0016327; GO:0016336; GO:0016339; GO:0017022; GO:0032880; GO:0035159; GO:0035209; GO:0035220; GO:0035332; GO:0040008; GO:0042067; GO:0043065; GO:0044331; GO:0045198; GO:0045296; GO:0045317; GO:0045570; GO:0045571; GO:0045926; GO:0046621; GO:0048105; GO:0060071; GO:0090176; GO:0090251; GO:0098609"	"apical plasma membrane [GO:0016324]; apicolateral plasma membrane [GO:0016327]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]; cadherin binding [GO:0045296]; calcium ion binding [GO:0005509]; myosin binding [GO:0017022]; calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0016339]; cell-cell adhesion [GO:0098609]; cell-cell adhesion mediated by cadherin [GO:0044331]; equator specification [GO:0045317]; establishment of body hair planar orientation [GO:0048105]; establishment of epithelial cell apical/basal polarity [GO:0045198]; establishment of imaginal disc-derived wing hair orientation [GO:0001737]; establishment of ommatidial planar polarity [GO:0042067]; establishment of planar polarity [GO:0001736]; establishment of tissue polarity [GO:0007164]; establishment or maintenance of polarity of larval imaginal disc epithelium [GO:0016336]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; imaginal disc growth [GO:0007446]; imaginal disc pattern formation [GO:0007447]; imaginal disc-derived wing morphogenesis [GO:0007476]; microtubule cytoskeleton organization involved in establishment of planar polarity [GO:0090176]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of gene expression [GO:0010629]; negative regulation of growth [GO:0045926]; negative regulation of imaginal disc growth [GO:0045571]; negative regulation of organ growth [GO:0046621]; positive regulation of apoptotic process [GO:0043065]; positive regulation of hippo signaling [GO:0035332]; protein localization involved in establishment of planar polarity [GO:0090251]; pupal development [GO:0035209]; regulation of growth [GO:0040008]; regulation of imaginal disc growth [GO:0045570]; regulation of protein localization [GO:0032880]; regulation of tube length, open tracheal system [GO:0035159]; tissue development [GO:0009888]; wing disc development [GO:0035220]; Wnt signaling pathway, planar cell polarity pathway [GO:0060071]"
"PGEN_.00g347000"	0.000159545776383159	"Scaffold_18"	20743485	20744480	NA	NA	NA	NA	NA
"PGEN_.00g337350"	0.00016285803406145	"Scaffold_17"	30227571	30228653	NA	NA	NA	NA	NA
"PGEN_.00g078630"	0.000162955478437178	"Scaffold_04"	785764	808066	"Q61316"	"HSP74_MOUSE"	"Heat shock 70 kDa protein 4 (Heat shock 70-related protein APG-2)"	"GO:0001085; GO:0001933; GO:0005524; GO:0005634; GO:0005737; GO:0005811; GO:0005829; GO:0009408; GO:0010628; GO:0010629; GO:0032092; GO:0033613; GO:0043066; GO:0043392; GO:0044877; GO:0045040; GO:0051131; GO:0060548; GO:0070062"	"cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; lipid droplet [GO:0005811]; nucleus [GO:0005634]; activating transcription factor binding [GO:0033613]; ATP binding [GO:0005524]; protein-containing complex binding [GO:0044877]; RNA polymerase II transcription factor binding [GO:0001085]; chaperone-mediated protein complex assembly [GO:0051131]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell death [GO:0060548]; negative regulation of DNA binding [GO:0043392]; negative regulation of gene expression [GO:0010629]; negative regulation of protein phosphorylation [GO:0001933]; positive regulation of gene expression [GO:0010628]; positive regulation of protein binding [GO:0032092]; protein insertion into mitochondrial outer membrane [GO:0045040]; response to heat [GO:0009408]"
"PGEN_.00g019590"	0.000163240345799005	"Scaffold_01"	53448576	53466006	NA	NA	NA	NA	NA
"PGEN_.00g179900"	0.000169821614700497	"Scaffold_08"	31887488	31903730	"Q5R4X0"	"IMPA1_PONAB"	"Inositol monophosphatase 1 (IMP 1) (IMPase 1) (EC 3.1.3.25) (D-galactose 1-phosphate phosphatase) (EC 3.1.3.94) (Inositol-1(or 4)-monophosphatase 1) (Lithium-sensitive myo-inositol monophosphatase A1)"	"GO:0000287; GO:0005737; GO:0006021; GO:0008934; GO:0030145; GO:0031403; GO:0046854; GO:0046855; GO:0052832; GO:0052833; GO:0052834"	"cytoplasm [GO:0005737]; inositol monophosphate 1-phosphatase activity [GO:0008934]; inositol monophosphate 3-phosphatase activity [GO:0052832]; inositol monophosphate 4-phosphatase activity [GO:0052833]; inositol monophosphate phosphatase activity [GO:0052834]; lithium ion binding [GO:0031403]; magnesium ion binding [GO:0000287]; manganese ion binding [GO:0030145]; inositol biosynthetic process [GO:0006021]; inositol phosphate dephosphorylation [GO:0046855]; phosphatidylinositol phosphorylation [GO:0046854]"
"PGEN_.00g004600"	0.000174665905227688	"Scaffold_01"	11708983	11709617	NA	NA	NA	NA	NA
"PGEN_.00g005260"	0.000177368605275262	"Scaffold_01"	13368110	13398858	"Q20930"	"MIG17_CAEEL"	"Metalloprotease mig-17 (EC 3.4.24.-) (Abnormal cell migration protein 17)"	"GO:0004222; GO:0005604; GO:0005615; GO:0008104; GO:0008237; GO:0016540; GO:0030334; GO:0031638; GO:0035262; GO:0046872; GO:1903354"	"basement membrane [GO:0005604]; extracellular space [GO:0005615]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; metallopeptidase activity [GO:0008237]; gonad morphogenesis [GO:0035262]; protein autoprocessing [GO:0016540]; protein localization [GO:0008104]; regulation of cell migration [GO:0030334]; regulation of distal tip cell migration [GO:1903354]; zymogen activation [GO:0031638]"
"PGEN_.00g178980"	0.000185581093945449	"Scaffold_08"	29320380	29351731	"P22892"	"AP1G1_MOUSE"	"AP-1 complex subunit gamma-1 (Adaptor protein complex AP-1 subunit gamma-1) (Adaptor-related protein complex 1 subunit gamma-1) (Clathrin assembly protein complex 1 gamma-1 large chain) (Gamma-adaptin) (Gamma1-adaptin) (Golgi adaptor HA1/AP1 adaptin subunit gamma-1)"	"GO:0000226; GO:0005518; GO:0005794; GO:0005802; GO:0005829; GO:0006886; GO:0008022; GO:0015630; GO:0016192; GO:0017137; GO:0019894; GO:0030121; GO:0030136; GO:0030742; GO:0035646; GO:0043231; GO:0043323; GO:0045954; GO:0048471; GO:0055037; GO:0090160"	"AP-1 adaptor complex [GO:0030121]; clathrin-coated vesicle [GO:0030136]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; intracellular membrane-bounded organelle [GO:0043231]; microtubule cytoskeleton [GO:0015630]; perinuclear region of cytoplasm [GO:0048471]; recycling endosome [GO:0055037]; trans-Golgi network [GO:0005802]; collagen binding [GO:0005518]; GTP-dependent protein binding [GO:0030742]; kinesin binding [GO:0019894]; protein C-terminus binding [GO:0008022]; Rab GTPase binding [GO:0017137]; endosome to melanosome transport [GO:0035646]; Golgi to lysosome transport [GO:0090160]; intracellular protein transport [GO:0006886]; microtubule cytoskeleton organization [GO:0000226]; positive regulation of natural killer cell degranulation [GO:0043323]; positive regulation of natural killer cell mediated cytotoxicity [GO:0045954]; vesicle-mediated transport [GO:0016192]"
