"Sample.ID"	"scaffold"	"position"	"meth"	"unmeth"	"gene"	"treatment1"	"treatment2"	"per.meth"
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	11398727	0	76	"PGEN_00001233"	"Ambient"	"Ambient"	0
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	11400361	0	20	"PGEN_00001233"	"Ambient"	"Ambient"	0
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	11400364	0	20	"PGEN_00001233"	"Ambient"	"Ambient"	0
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	11400386	0	20	"PGEN_00001233"	"Ambient"	"Ambient"	0
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	11400392	0	19	"PGEN_00001233"	"Ambient"	"Ambient"	0
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	11412242	0	62	"PGEN_00001235"	"Ambient"	"Ambient"	0
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	11412296	0	71	"PGEN_00001235"	"Ambient"	"Ambient"	0
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	11827805	0	37	"PGEN_00001246"	"Ambient"	"Ambient"	0
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	13466903	16	19	"PGEN_00001291"	"Ambient"	"Ambient"	45.7142857142857
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	13594600	0	33	"PGEN_00001295"	"Ambient"	"Ambient"	0
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	13594645	0	35	"PGEN_00001295"	"Ambient"	"Ambient"	0
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	13594825	0	38	"PGEN_00001295"	"Ambient"	"Ambient"	0
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	13594858	0	37	"PGEN_00001295"	"Ambient"	"Ambient"	0
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	13594870	0	38	"PGEN_00001295"	"Ambient"	"Ambient"	0
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	15946304	23	6	"PGEN_00001361"	"Ambient"	"Ambient"	79.3103448275862
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	15946386	23	17	"PGEN_00001361"	"Ambient"	"Ambient"	57.5
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	16947759	14	39	"PGEN_00001386"	"Ambient"	"Ambient"	26.4150943396226
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	16953263	3	17	"PGEN_00001386"	"Ambient"	"Ambient"	15
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	17032790	0	21	"PGEN_00001391"	"Ambient"	"Ambient"	0
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	17032800	1	22	"PGEN_00001391"	"Ambient"	"Ambient"	4.34782608695652
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	17032844	1	20	"PGEN_00001391"	"Ambient"	"Ambient"	4.76190476190476
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	17303010	22	9	"PGEN_00001398"	"Ambient"	"Ambient"	70.9677419354839
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	17407220	1	21	"PGEN_00001401"	"Ambient"	"Ambient"	4.54545454545455
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	17407271	1	160	"PGEN_00001401"	"Ambient"	"Ambient"	0.62111801242236
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	17407611	0	77	"PGEN_00001401"	"Ambient"	"Ambient"	0
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	17407633	0	84	"PGEN_00001401"	"Ambient"	"Ambient"	0
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	17407662	1	72	"PGEN_00001401"	"Ambient"	"Ambient"	1.36986301369863
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	17407735	0	34	"PGEN_00001401"	"Ambient"	"Ambient"	0
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	18080478	1	38	"PGEN_00001422"	"Ambient"	"Ambient"	2.56410256410256
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	18080520	2	54	"PGEN_00001422"	"Ambient"	"Ambient"	3.57142857142857
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	18080562	2	40	"PGEN_00001422"	"Ambient"	"Ambient"	4.76190476190476
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	18080688	0	42	"PGEN_00001422"	"Ambient"	"Ambient"	0
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	18434943	9	17	"PGEN_00001430"	"Ambient"	"Ambient"	34.6153846153846
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	19775906	0	128	"PGEN_00001470"	"Ambient"	"Ambient"	0
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	19775960	0	123	"PGEN_00001470"	"Ambient"	"Ambient"	0
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	19775998	11	82	"PGEN_00001470"	"Ambient"	"Ambient"	11.8279569892473
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	19898232	0	21	"PGEN_00001480"	"Ambient"	"Ambient"	0
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	19922096	0	27	"PGEN_00001480"	"Ambient"	"Ambient"	0
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	19922134	2	14	"PGEN_00001480"	"Ambient"	"Ambient"	12.5
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	19922186	1	21	"PGEN_00001480"	"Ambient"	"Ambient"	4.54545454545455
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	19922225	0	21	"PGEN_00001480"	"Ambient"	"Ambient"	0
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	20351222	0	49	"PGEN_00001492"	"Ambient"	"Ambient"	0
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	20351237	0	50	"PGEN_00001492"	"Ambient"	"Ambient"	0
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	20351269	1	46	"PGEN_00001492"	"Ambient"	"Ambient"	2.12765957446809
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	2230985	2	22	"PGEN_00000937"	"Ambient"	"Ambient"	8.33333333333333
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	2231256	0	22	"PGEN_00000937"	"Ambient"	"Ambient"	0
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	25609641	0	30	"PGEN_00001642"	"Ambient"	"Ambient"	0
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	25694319	2	52	"PGEN_00001648"	"Ambient"	"Ambient"	3.7037037037037
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	25694364	1	62	"PGEN_00001648"	"Ambient"	"Ambient"	1.58730158730159
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	25743871	0	37	"PGEN_00001648"	"Ambient"	"Ambient"	0
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	25743888	11	27	"PGEN_00001648"	"Ambient"	"Ambient"	28.9473684210526
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	25743916	0	32	"PGEN_00001648"	"Ambient"	"Ambient"	0
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	25743933	6	23	"PGEN_00001648"	"Ambient"	"Ambient"	20.6896551724138
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	25744006	0	28	"PGEN_00001648"	"Ambient"	"Ambient"	0
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	25744051	0	74	"PGEN_00001648"	"Ambient"	"Ambient"	0
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	25744068	18	47	"PGEN_00001648"	"Ambient"	"Ambient"	27.6923076923077
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	25744096	0	94	"PGEN_00001648"	"Ambient"	"Ambient"	0
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	25744113	14	60	"PGEN_00001648"	"Ambient"	"Ambient"	18.9189189189189
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	25744141	0	51	"PGEN_00001648"	"Ambient"	"Ambient"	0
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	25744158	12	24	"PGEN_00001648"	"Ambient"	"Ambient"	33.3333333333333
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	25754815	1	49	"PGEN_00001648"	"Ambient"	"Ambient"	2
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	25754905	0	67	"PGEN_00001648"	"Ambient"	"Ambient"	0
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	25754950	0	49	"PGEN_00001648"	"Ambient"	"Ambient"	0
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	25755040	0	31	"PGEN_00001648"	"Ambient"	"Ambient"	0
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	26060091	1	25	"PGEN_00001659"	"Ambient"	"Ambient"	3.84615384615385
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	26060369	3	25	"PGEN_00001659"	"Ambient"	"Ambient"	10.7142857142857
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	26060385	0	30	"PGEN_00001659"	"Ambient"	"Ambient"	0
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	3675515	0	44	"PGEN_00000981"	"Ambient"	"Ambient"	0
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	3675543	0	38	"PGEN_00000981"	"Ambient"	"Ambient"	0
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	3675550	0	38	"PGEN_00000981"	"Ambient"	"Ambient"	0
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	3675618	0	35	"PGEN_00000981"	"Ambient"	"Ambient"	0
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	3675651	0	60	"PGEN_00000981"	"Ambient"	"Ambient"	0
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	3675679	0	52	"PGEN_00000981"	"Ambient"	"Ambient"	0
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	3675686	0	57	"PGEN_00000981"	"Ambient"	"Ambient"	0
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	4453535	10	31	"PGEN_00000998"	"Ambient"	"Ambient"	24.390243902439
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	4453541	7	34	"PGEN_00000998"	"Ambient"	"Ambient"	17.0731707317073
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	6649000	0	37	"PGEN_00001064"	"Ambient"	"Ambient"	0
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	6649016	2	31	"PGEN_00001064"	"Ambient"	"Ambient"	6.06060606060606
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	6785721	22	5	"PGEN_00001066"	"Ambient"	"Ambient"	81.4814814814815
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	6785764	0	45	"PGEN_00001066"	"Ambient"	"Ambient"	0
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	7664156	0	42	"PGEN_00001089"	"Ambient"	"Ambient"	0
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	7664175	1	48	"PGEN_00001089"	"Ambient"	"Ambient"	2.04081632653061
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	7664201	0	57	"PGEN_00001089"	"Ambient"	"Ambient"	0
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	7664220	2	43	"PGEN_00001089"	"Ambient"	"Ambient"	4.44444444444444
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	7664265	1	35	"PGEN_00001089"	"Ambient"	"Ambient"	2.77777777777778
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	9065677	35	12	"PGEN_00001153"	"Ambient"	"Ambient"	74.468085106383
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	9065709	39	23	"PGEN_00001153"	"Ambient"	"Ambient"	62.9032258064516
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	9065731	52	14	"PGEN_00001153"	"Ambient"	"Ambient"	78.7878787878788
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	9065740	45	18	"PGEN_00001153"	"Ambient"	"Ambient"	71.4285714285714
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	9065763	23	26	"PGEN_00001153"	"Ambient"	"Ambient"	46.9387755102041
"EPI_184"	"PGA_scaffold18__69_contigs__length_27737463"	9065785	30	14	"PGEN_00001153"	"Ambient"	"Ambient"	68.1818181818182
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	10207413	6	5	"PGEN_00000265"	"Ambient"	"Ambient"	54.5454545454545
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	10207438	11	3	"PGEN_00000265"	"Ambient"	"Ambient"	78.5714285714286
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	10207441	5	10	"PGEN_00000265"	"Ambient"	"Ambient"	33.3333333333333
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	10207453	8	8	"PGEN_00000265"	"Ambient"	"Ambient"	50
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	10207458	4	10	"PGEN_00000265"	"Ambient"	"Ambient"	28.5714285714286
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	10207482	2	18	"PGEN_00000265"	"Ambient"	"Ambient"	10
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	10208835	7	21	"PGEN_00000265"	"Ambient"	"Ambient"	25
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	10209483	1	15	"PGEN_00000265"	"Ambient"	"Ambient"	6.25
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	10209505	17	1	"PGEN_00000265"	"Ambient"	"Ambient"	94.4444444444444
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	10209545	1	13	"PGEN_00000265"	"Ambient"	"Ambient"	7.14285714285714
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	10210273	10	2	"PGEN_00000265"	"Ambient"	"Ambient"	83.3333333333333
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	10210313	2	10	"PGEN_00000265"	"Ambient"	"Ambient"	16.6666666666667
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	10210393	0	13	"PGEN_00000265"	"Ambient"	"Ambient"	0
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	10210451	2	13	"PGEN_00000265"	"Ambient"	"Ambient"	13.3333333333333
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	10210463	1	14	"PGEN_00000265"	"Ambient"	"Ambient"	6.66666666666667
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	10210466	2	10	"PGEN_00000265"	"Ambient"	"Ambient"	16.6666666666667
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	10210485	1	11	"PGEN_00000265"	"Ambient"	"Ambient"	8.33333333333333
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	10218622	7	11	"PGEN_00000265"	"Ambient"	"Ambient"	38.8888888888889
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	10218771	6	6	"PGEN_00000265"	"Ambient"	"Ambient"	50
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	10218873	7	5	"PGEN_00000265"	"Ambient"	"Ambient"	58.3333333333333
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	10219326	6	5	"PGEN_00000265"	"Ambient"	"Ambient"	54.5454545454545
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	10219348	6	7	"PGEN_00000265"	"Ambient"	"Ambient"	46.1538461538462
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	10219360	12	6	"PGEN_00000265"	"Ambient"	"Ambient"	66.6666666666667
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	10220188	10	8	"PGEN_00000265"	"Ambient"	"Ambient"	55.5555555555556
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	10220242	6	6	"PGEN_00000265"	"Ambient"	"Ambient"	50
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	10221680	9	6	"PGEN_00000265"	"Ambient"	"Ambient"	60
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	10221699	14	4	"PGEN_00000265"	"Ambient"	"Ambient"	77.7777777777778
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	10221724	13	6	"PGEN_00000265"	"Ambient"	"Ambient"	68.4210526315789
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	10221741	21	5	"PGEN_00000265"	"Ambient"	"Ambient"	80.7692307692308
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	10221767	9	9	"PGEN_00000265"	"Ambient"	"Ambient"	50
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	10222313	8	3	"PGEN_00000265"	"Ambient"	"Ambient"	72.7272727272727
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	10222316	2	10	"PGEN_00000265"	"Ambient"	"Ambient"	16.6666666666667
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	10222354	16	5	"PGEN_00000265"	"Ambient"	"Ambient"	76.1904761904762
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	10222357	11	4	"PGEN_00000265"	"Ambient"	"Ambient"	73.3333333333333
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	10222384	1	15	"PGEN_00000265"	"Ambient"	"Ambient"	6.25
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	10222398	3	14	"PGEN_00000265"	"Ambient"	"Ambient"	17.6470588235294
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	10225628	14	0	"PGEN_00000265"	"Ambient"	"Ambient"	100
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	10226502	4	10	"PGEN_00000265"	"Ambient"	"Ambient"	28.5714285714286
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	10226563	2	12	"PGEN_00000265"	"Ambient"	"Ambient"	14.2857142857143
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	10226583	13	0	"PGEN_00000265"	"Ambient"	"Ambient"	100
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	10226611	9	3	"PGEN_00000265"	"Ambient"	"Ambient"	75
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	10226622	17	0	"PGEN_00000265"	"Ambient"	"Ambient"	100
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	10226628	7	5	"PGEN_00000265"	"Ambient"	"Ambient"	58.3333333333333
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	10226643	13	0	"PGEN_00000265"	"Ambient"	"Ambient"	100
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	10226648	10	3	"PGEN_00000265"	"Ambient"	"Ambient"	76.9230769230769
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	10226776	17	5	"PGEN_00000265"	"Ambient"	"Ambient"	77.2727272727273
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	17777849	0	12	"PGEN_00000451"	"Ambient"	"Ambient"	0
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	1885842	0	43	"PGEN_00000039"	"Ambient"	"Ambient"	0
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	1912281	13	6	"PGEN_00000039"	"Ambient"	"Ambient"	68.4210526315789
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	1912338	17	5	"PGEN_00000039"	"Ambient"	"Ambient"	77.2727272727273
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	1912397	9	12	"PGEN_00000039"	"Ambient"	"Ambient"	42.8571428571429
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	19937931	8	9	"PGEN_00000498"	"Ambient"	"Ambient"	47.0588235294118
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	19938014	0	16	"PGEN_00000498"	"Ambient"	"Ambient"	0
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	19938017	7	9	"PGEN_00000498"	"Ambient"	"Ambient"	43.75
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	19938633	13	4	"PGEN_00000498"	"Ambient"	"Ambient"	76.4705882352941
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	20167334	20	9	"PGEN_00000505"	"Ambient"	"Ambient"	68.9655172413793
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	20594967	0	34	"PGEN_00000515"	"Ambient"	"Ambient"	0
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	20594976	0	33	"PGEN_00000515"	"Ambient"	"Ambient"	0
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	20831956	0	15	"PGEN_00000520"	"Ambient"	"Ambient"	0
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	20831965	0	13	"PGEN_00000520"	"Ambient"	"Ambient"	0
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	20868327	1	14	"PGEN_00000521"	"Ambient"	"Ambient"	6.66666666666667
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	20868333	0	15	"PGEN_00000521"	"Ambient"	"Ambient"	0
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	20868337	0	14	"PGEN_00000521"	"Ambient"	"Ambient"	0
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	22718597	9	12	"PGEN_00000568"	"Ambient"	"Ambient"	42.8571428571429
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	23419182	0	16	"PGEN_00000578"	"Ambient"	"Ambient"	0
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	23419251	0	24	"PGEN_00000578"	"Ambient"	"Ambient"	0
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	2397318	14	2	"PGEN_00000055"	"Ambient"	"Ambient"	87.5
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	2397326	12	4	"PGEN_00000055"	"Ambient"	"Ambient"	75
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	2397341	14	2	"PGEN_00000055"	"Ambient"	"Ambient"	87.5
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	2397354	11	3	"PGEN_00000055"	"Ambient"	"Ambient"	78.5714285714286
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	2397393	14	2	"PGEN_00000055"	"Ambient"	"Ambient"	87.5
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	24499846	3	9	"PGEN_00000594"	"Ambient"	"Ambient"	25
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	24627135	0	15	"PGEN_00000598"	"Ambient"	"Ambient"	0
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	24628253	0	19	"PGEN_00000598"	"Ambient"	"Ambient"	0
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	24628326	0	16	"PGEN_00000598"	"Ambient"	"Ambient"	0
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	24628590	0	12	"PGEN_00000598"	"Ambient"	"Ambient"	0
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	24628634	0	11	"PGEN_00000598"	"Ambient"	"Ambient"	0
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	24628766	0	21	"PGEN_00000598"	"Ambient"	"Ambient"	0
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	24994983	19	34	"PGEN_00000616"	"Ambient"	"Ambient"	35.8490566037736
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	24995028	0	62	"PGEN_00000616"	"Ambient"	"Ambient"	0
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	24995067	8	13	"PGEN_00000616"	"Ambient"	"Ambient"	38.0952380952381
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	24995147	1	10	"PGEN_00000616"	"Ambient"	"Ambient"	9.09090909090909
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	24995174	0	11	"PGEN_00000616"	"Ambient"	"Ambient"	0
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	24995415	8	19	"PGEN_00000616"	"Ambient"	"Ambient"	29.6296296296296
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	24995499	3	15	"PGEN_00000616"	"Ambient"	"Ambient"	16.6666666666667
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	24995583	3	11	"PGEN_00000616"	"Ambient"	"Ambient"	21.4285714285714
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	24995751	0	12	"PGEN_00000616"	"Ambient"	"Ambient"	0
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	25317430	28	4	"PGEN_00000622"	"Ambient"	"Ambient"	87.5
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	25317438	15	18	"PGEN_00000622"	"Ambient"	"Ambient"	45.4545454545455
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	25317505	20	32	"PGEN_00000622"	"Ambient"	"Ambient"	38.4615384615385
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	25317639	10	6	"PGEN_00000622"	"Ambient"	"Ambient"	62.5
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	25317773	16	19	"PGEN_00000622"	"Ambient"	"Ambient"	45.7142857142857
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	26620661	2	10	"PGEN_00000653"	"Ambient"	"Ambient"	16.6666666666667
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	26775074	8	5	"PGEN_00000656"	"Ambient"	"Ambient"	61.5384615384615
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	26775378	2	9	"PGEN_00000656"	"Ambient"	"Ambient"	18.1818181818182
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	28330698	9	7	"PGEN_00000682"	"Ambient"	"Ambient"	56.25
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	28331859	16	8	"PGEN_00000682"	"Ambient"	"Ambient"	66.6666666666667
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	28332048	14	8	"PGEN_00000682"	"Ambient"	"Ambient"	63.6363636363636
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	28332093	17	3	"PGEN_00000682"	"Ambient"	"Ambient"	85
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	28332099	17	2	"PGEN_00000682"	"Ambient"	"Ambient"	89.4736842105263
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	28332360	8	11	"PGEN_00000682"	"Ambient"	"Ambient"	42.1052631578947
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	28332505	10	39	"PGEN_00000682"	"Ambient"	"Ambient"	20.4081632653061
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	29820482	0	16	"PGEN_00000712"	"Ambient"	"Ambient"	0
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	29820547	0	31	"PGEN_00000712"	"Ambient"	"Ambient"	0
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	29820612	1	11	"PGEN_00000712"	"Ambient"	"Ambient"	8.33333333333333
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	30227823	0	12	"PGEN_00000727"	"Ambient"	"Ambient"	0
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	30227827	0	11	"PGEN_00000727"	"Ambient"	"Ambient"	0
"EPI_185"	"PGA_scaffold17__51_contigs__length_34923512"	30227991	0	14	"PGEN_00000727"	"Ambient"	"Ambient"	0
