"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","reason","matches","identifier","name","namespace","description","class"
"275","GO:0090009",0.0427906677225778,0.996456334985972,2,7,NA,NA,"MATCH",1,"GO:0090009","primitive streak formation","BP","The developmental process pertaining to the initial formation of the primitive streak from unspecified parts. The primitive streak is a ridge of cells running along the midline of the embryo where the mesoderm ingresses. It defines the anterior-posterior axis.","GOTerm"
"276","GO:0090051",0.00774067787656129,0.999862114988643,2,3,NA,NA,"MATCH",1,"GO:0090051","negative regulation of cell migration involved in sprouting angiogenesis","BP","Any process that decreases the frequency, rate or extent of cell migration involved in sprouting angiogenesis. Cell migration involved in sprouting angiogenesis is the orderly movement of endothelial cells into the extracellular matrix in order to form new blood vessels contributing to the process of sprouting angiogenesis.","GOTerm"
"285","GO:0098719",0.0139661047271692,0.999522406390049,2,4,NA,NA,"MATCH",1,"GO:0098719","sodium ion import across plasma membrane","BP","The directed movement of sodium ions from outside of a cell, across the plasma membrane and into the cytosol.","GOTerm"
"290","GO:0099175",0.0309244541339577,0.997965399630913,2,6,NA,NA,"MATCH",1,"GO:0099175","regulation of postsynapse organization","BP","Any process that modulates the physical form of a postsynapse.","GOTerm"
"294","GO:0110025",0.0126084946726776,0.999591672312121,2,4,NA,NA,"MATCH",1,"GO:0110025","DNA strand resection involved in replication fork processing","BP","The 5' to 3' exonucleolytic resection of DNA at the site of a stalled replication fork that contributes to replication fork processing.","GOTerm"
"298","GO:1901222",0.0207124893314855,0.998988695963743,2,5,NA,NA,"MATCH",1,"GO:1901222","regulation of NIK/NF-kappaB signaling","BP","Any process that modulates the frequency, rate or extent of NIK/NF-kappaB signaling.","GOTerm"
"304","GO:1902443",0.0136330027575324,0.999539756521337,2,4,NA,NA,"MATCH",1,"GO:1902443","negative regulation of ripoptosome assembly involved in necroptotic process","BP","Any process that stops, prevents or reduces the frequency, rate or extent of ripoptosome assembly involved in a necroptotic process.","GOTerm"
"305","GO:1902474",0.00239611001949912,1,2,2,NA,NA,"MATCH",1,"GO:1902474","positive regulation of protein localization to synapse","BP","Any process that activates or increases the frequency, rate or extent of protein localization to synapse.","GOTerm"
"306","GO:1902523",0.0130577449436337,0.999569178500974,2,4,NA,NA,"MATCH",1,"GO:1902523","positive regulation of protein K63-linked ubiquitination","BP","Any process that activates or increases the frequency, rate or extent of protein K63-linked ubiquitination.","GOTerm"
"307","GO:1902524",0.0070139883492544,0.999881380167176,2,3,NA,NA,"MATCH",1,"GO:1902524","positive regulation of protein K48-linked ubiquitination","BP","Any process that activates or increases the frequency, rate or extent of protein K48-linked ubiquitination.","GOTerm"
"308","GO:1902527",0.0294112188318378,0.998117154960667,2,6,NA,NA,"MATCH",1,"GO:1902527","positive regulation of protein monoubiquitination","BP","Any process that activates or increases the frequency, rate or extent of protein monoubiquitination.","GOTerm"
"311","GO:1904179",0.0208923758471368,0.998975152942069,2,5,NA,NA,"MATCH",1,"GO:1904179","positive regulation of adipose tissue development","BP","Any process that activates or increases the frequency, rate or extent of adipose tissue development.","GOTerm"
"316","GO:1904953",0.0294865971254315,0.998109697112992,2,6,NA,NA,"MATCH",1,"GO:1904953","Wnt signaling pathway involved in midbrain dopaminergic neuron differentiation","BP","Any Wnt signaling pathway that is involved in midbrain dopaminergic neuron differentiation.","GOTerm"
"329","GO:2001013",0.0130587743201191,0.999569126470671,2,4,NA,NA,"MATCH",1,"GO:2001013","epithelial cell proliferation involved in renal tubule morphogenesis","BP","Any epithelial cell proliferation that is involved in renal tubule morphogenesis.","GOTerm"
"12","GO:0002101",0.0460345291595944,1,1,1,NA,NA,"MATCH",1,"GO:0002101","tRNA wobble cytosine modification","BP","The process in which a cytosine in position 34 of a tRNA is post-transcriptionally modified.","GOTerm"
"14","GO:0002724",0.0494248549507185,1,1,1,NA,NA,"MATCH",1,"GO:0002724","regulation of T cell cytokine production","BP","Any process that modulates the frequency, rate, or extent of T cell cytokine production.","GOTerm"
"15","GO:0003143",0.0470918387438903,1,1,1,"embryonic heart tube morphogenesis","BP","MATCH",1,"GO:0003143","embryonic heart tube morphogenesis","BP","The process in which the anatomical structures of the embryonic heart tube are generated and organized. The embryonic heart tube is an epithelial tube that will give rise to the mature heart.","GOTerm"
"16","GO:0003402",0.045566954750469,1,1,1,NA,NA,"MATCH",1,"GO:0003402","planar cell polarity pathway involved in axis elongation","BP","The series of molecular signals initiated by binding of a Wnt protein to a receptor on the surface of the target cell where activated receptors signal to modulate cytoskeletal elements and control cell polarity that contributes to axis elongation.","GOTerm"
"17","GO:0003408",0.045566954750469,1,1,1,NA,NA,"MATCH",1,"GO:0003408","optic cup formation involved in camera-type eye development","BP","The developmental process pertaining to the initial formation of the optic cup, a two-walled vesicle formed from the optic vesicle.","GOTerm"
"43","GO:0006288",0.0476329613583147,1,1,1,NA,NA,"MATCH",1,"GO:0006288","base-excision repair, DNA ligation","BP","The ligation by DNA ligase of DNA strands. Ligation occurs after polymerase action to fill the gap left by the action of endonucleases during base-excision repair.","GOTerm"
"44","GO:0006289",0.0492734058727393,1,1,1,"nucleotide-excision repair","BP","MATCH",1,"GO:0006289","nucleotide-excision repair","BP","A DNA repair process in which a small region of the strand surrounding the damage is removed from the DNA helix as an oligonucleotide. The small gap left in the DNA helix is filled in by the sequential action of DNA polymerase and DNA ligase. Nucleotide excision repair recognizes a wide range of substrates, including damage caused by UV irradiation (pyrimidine dimers and 6-4 photoproducts) and chemicals (intrastrand cross-links and bulky adducts).","GOTerm"
"47","GO:0006390",0.0493580302929972,1,1,1,NA,NA,"MATCH",1,"GO:0006390","mitochondrial transcription","BP","The synthesis of RNA from a mitochondrial DNA template, usually by a specific mitochondrial RNA polymerase.","GOTerm"
"48","GO:0006391",0.0493580302929972,1,1,1,NA,NA,"MATCH",1,"GO:0006391","transcription initiation from mitochondrial promoter","BP","A transcription initiation process that takes place at a promoter on the mitochondrial chromosome, and results in RNA synthesis by a mitochondrial RNA polymerase.","GOTerm"
"49","GO:0006449",0.0498198603945612,1,1,1,NA,NA,"MATCH",1,"GO:0006449","regulation of translational termination","BP","Any process that modulates the frequency, rate or extent of translational termination.","GOTerm"
"53","GO:0007212",0.0498736888464917,1,1,1,"dopamine receptor signaling pathway","BP","MATCH",1,"GO:0007212","dopamine receptor signaling pathway","BP","The series of molecular signals generated as a consequence of a dopamine receptor binding to one of its physiological ligands.","GOTerm"
"54","GO:0007218",0.0493748166546722,1,1,1,"neuropeptide signaling pathway","BP","MATCH",1,"GO:0007218","neuropeptide signaling pathway","BP","The series of molecular signals generated as a consequence of a peptide neurotransmitter binding to a cell surface receptor.","GOTerm"
"58","GO:0007370",0.0492618360217594,1,1,1,NA,NA,"MATCH",1,"GO:0007370","ventral furrow formation","BP","Formation of a ventral indentation (furrow) from the blastoderm epithelium, which is internalized to form a tube in the interior of the embryo, marking the start of gastrulation.","GOTerm"
"61","GO:0007599",0.0478666324402901,1,1,1,NA,NA,"MATCH",1,"GO:0007599","hemostasis","BP","The stopping of bleeding (loss of body fluid) or the arrest of the circulation to an organ or part.","GOTerm"
"64","GO:0008104",0.0491689739707506,1,1,1,"protein localization","BP","MATCH",1,"GO:0008104","protein localization","BP","Any process in which a protein is transported to, or maintained in, a specific location.","GOTerm"
"69","GO:0009386",0.0490069512466746,1,1,1,NA,NA,"MATCH",1,"GO:0009386","translational attenuation","BP","Translational attenuation is a regulatory mechanism analogous to ribosome-mediated transcriptional attenuation. The system requires the presence of a short ORF, called a leader peptide, encoded in the mRNA upstream of the ribosome-binding site and start codon of the gene whose translation is to be regulated. Certain conditions, such as presence of the antibiotic tetracycline in bacteria or amino acid starvation, may cause slowing or stalling of the ribosome translating the leader peptide. The stalled ribosome masks a region of the mRNA and affects which of two alternative mRNA folded structures will form, therefore controlling whether or not a ribosome will bind and initiate translation of the downstream gene. Translational attenuation is analogous to ribosome-mediated transcriptional attenuation, in which mRNA remodeling caused by ribosome stalling regulates transcriptional termination rather than translational initiation.","GOTerm"
"70","GO:0009616",0.0464519523481748,1,1,1,NA,NA,"MATCH",1,"GO:0009616","virus induced gene silencing","BP","Specific posttranscriptional gene inactivation ('silencing') both of viral gene(s), and host gene(s) homologous to the viral genes. This silencing is triggered by viral infection, and occurs through a specific decrease in the level of mRNA of both host and viral genes.","GOTerm"
"71","GO:0009710",0.0491066916856203,1,1,1,"tropane alkaloid biosynthetic process","BP","MATCH",1,"GO:0009710","tropane alkaloid biosynthetic process","BP","The chemical reactions and pathways resulting in the breakdown of tropane alkaloids, compounds containing the 8-methyl-8-azabicyclo(3.2.1)octane ring system.","GOTerm"
"72","GO:0009733",0.0464519523481748,1,1,1,NA,NA,"MATCH",1,"GO:0009733","response to auxin","BP","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an auxin stimulus.","GOTerm"
"74","GO:0009789",0.0490678322971728,1,1,1,NA,NA,"MATCH",1,"GO:0009789","positive regulation of abscisic acid-activated signaling pathway","BP","Any process that activates or increases the frequency, rate or extent of abscisic acid (ABA) signaling.","GOTerm"
"75","GO:0009850",0.0464519523481748,1,1,1,NA,NA,"MATCH",1,"GO:0009850","auxin metabolic process","BP","The chemical reactions and pathways involving auxins, a group of plant hormones that regulate aspects of plant growth.","GOTerm"
"76","GO:0009955",0.0464519523481748,1,1,1,NA,NA,"MATCH",1,"GO:0009955","adaxial/abaxial pattern specification","BP","The regionalization process in which differences in cell differentiation along the adaxial/abaxial are generated. Adaxial refers to being situated toward an axis of an anatomical structure. Abaxial refers to being situated away from an axis of an anatomical structure.","GOTerm"
"77","GO:0009965",0.0464519523481748,1,1,1,NA,NA,"MATCH",1,"GO:0009965","leaf morphogenesis","BP","The process in which the anatomical structures of the leaf are generated and organized.","GOTerm"
"80","GO:0010218",0.0464519523481748,1,1,1,NA,NA,"MATCH",1,"GO:0010218","response to far red light","BP","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of far red light stimulus. Far red light is electromagnetic radiation of wavelength 700-800nm. An example of this response is seen at the beginning of many plant species developmental stages. These include germination, and the point when cotyledon expansion is triggered. In certain species these processes take place in response to absorption of red light by the pigment molecule phytochrome, but the signal can be reversed by exposure to far red light. During the initial phase the phytochrome molecule is only present in the red light absorbing form, but on absorption of red light it changes to a far red light absorbing form, triggering progress through development. An immediate short period of exposure to far red light entirely returns the pigment to its initial state and prevents triggering of the developmental process. A thirty minute break between red and subsequent far red light exposure renders the red light effect irreversible, and development then occurs regardless of whether far red light exposure subsequently occurs.","GOTerm"
"81","GO:0010305",0.0464519523481748,1,1,1,NA,NA,"MATCH",1,"GO:0010305","leaf vascular tissue pattern formation","BP","Vascular tissue pattern formation as it occurs in the leaf of vascular plants.","GOTerm"
"82","GO:0010589",0.0464519523481748,1,1,1,NA,NA,"MATCH",1,"GO:0010589","leaf proximal/distal pattern formation","BP","The regionalization process within a leaf by which specific areas of cell differentiation are determined along a proximal/distal axis.","GOTerm"
"88","GO:0014812",0.0493629615589474,1,1,1,NA,NA,"MATCH",1,"GO:0014812","muscle cell migration","BP","The orderly movement of a muscle cell from one site to another, often during the development of a multicellular organism.","GOTerm"
"89","GO:0014866",0.0499179383945327,1,1,1,NA,NA,"MATCH",1,"GO:0014866","skeletal myofibril assembly","BP","The process whose specific outcome is the progression of the skeletal myofibril over time, from its formation to the mature structure. A skeletal myofibril is a myofibril specific to skeletal muscle cells.","GOTerm"
"93","GO:0015789",0.0493778610315132,1,1,1,NA,NA,"MATCH",1,"GO:0015789","UDP-N-acetylgalactosamine transmembrane transport","BP","The directed movement of UDP-N-acetylgalactosamine into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. UDP-N-acetylgalactosamine is a substance composed of N-acetylgalactosamine, a common structural unit of oligosaccharides, in glycosidic linkage with uridine diphosphate.","GOTerm"
"112","GO:0030717",0.0451722375702824,1,1,1,NA,NA,"MATCH",1,"GO:0030717","oocyte karyosome formation","BP","The chromosome organization process in which meiotic chromosomes in the oocyte nucleus cluster together to form a compact spherical structure called the karyosome.","GOTerm"
"117","GO:0031860",0.0477449724883948,1,1,1,NA,NA,"MATCH",1,"GO:0031860","telomeric 3' overhang formation","BP","The formation of the single stranded telomeric 3' overhang, a conserved feature that ranges in length from 12 nt in budding yeast to approximately 500 nt in humans.","GOTerm"
"119","GO:0032237",0.0458242196004537,1,1,1,NA,NA,"MATCH",1,"GO:0032237","activation of store-operated calcium channel activity","BP","A process that initiates the activity of an inactive store-operated calcium channel.","GOTerm"
"120","GO:0032388",0.0486700277025889,1,1,1,NA,NA,"MATCH",1,"GO:0032388","positive regulation of intracellular transport","BP","Any process that activates or increases the frequency, rate or extent of the directed movement of substances within cells.","GOTerm"
"125","GO:0032823",0.0490495200399418,1,1,1,NA,NA,"MATCH",1,"GO:0032823","regulation of natural killer cell differentiation","BP","Any process that modulates the frequency, rate or extent of natural killer cell differentiation.","GOTerm"
"127","GO:0032923",0.0484670367275842,1,1,1,"organic phosphonate biosynthetic process","BP","MATCH",1,"GO:0032923","organic phosphonate biosynthetic process","BP","The chemical reactions and pathways resulting in the formation of phosphonates, any organic compound containing one or more C-PO(OH)2 or C-PO(OR)2 (with R=alkyl, aryl) groups. Synthesis of phosphonic acid itself, an inorganic compound without the biochemically relevant C-P bond, is not included.","GOTerm"
"128","GO:0033082",0.0490495200399418,1,1,1,NA,NA,"MATCH",1,"GO:0033082","regulation of extrathymic T cell differentiation","BP","Any process that modulates the frequency, rate or extent of extrathymic T cell differentiation.","GOTerm"
"135","GO:0034342",0.0498198603945612,1,1,1,NA,NA,"MATCH",1,"GO:0034342","response to type III interferon","BP","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a type III interferon stimulus. Interferon lambda is the only member of the type III interferon found so far.","GOTerm"
"136","GO:0034638",0.0495199848541034,1,1,1,NA,NA,"MATCH",1,"GO:0034638","phosphatidylcholine catabolic process","BP","The chemical reactions and pathways resulting in the breakdown of phosphatidylcholines, any of a class of glycerophospholipids in which the phosphatidyl group is esterified to the hydroxyl group of choline.","GOTerm"
"139","GO:0035063",0.0493405533182858,1,1,1,NA,NA,"MATCH",1,"GO:0035063","nuclear speck organization","BP","A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of nuclear specks, a class of nuclear body in which splicing factors are localized.","GOTerm"
"140","GO:0035087",0.0464519523481748,1,1,1,NA,NA,"MATCH",1,"GO:0035087","siRNA loading onto RISC involved in RNA interference","BP","The transfer of small interfering RNA molecules (siRNAs) from the Dicer family of enzymes that cleave the double-stranded RNA, onto the nuclease-containing RNA-initiated silencing complex (RISC), in the context of RNA interference.","GOTerm"
"145","GO:0035330",0.0466760838555217,1,1,1,"regulation of hippo signaling","BP","MATCH",1,"GO:0035330","regulation of hippo signaling","BP","Any process that modulates the frequency, rate or extent of hippo signaling.","GOTerm"
"146","GO:0035459",0.0453835430934179,1,1,1,NA,NA,"MATCH",1,"GO:0035459","vesicle cargo loading","BP","The formation of a macromolecular complex between the coat proteins and proteins and/or lipoproteins that are going to be transported by a vesicle.","GOTerm"
"147","GO:0035513",0.0460345291595944,1,1,1,NA,NA,"MATCH",1,"GO:0035513","oxidative RNA demethylation","BP","The removal of the methyl group from one or more nucleotides within an RNA molecule involving oxidation (i.e. electron loss) of one or more atoms.","GOTerm"
"149","GO:0035582",0.0492397553757911,1,1,1,NA,NA,"MATCH",1,"GO:0035582","sequestering of BMP in extracellular matrix","BP","Confining a bone morphogenetic protein (BMP) to the extracellular matrix (ECM), such that it is separated from other components of the signaling pathway, including its cell surface receptor. Bone morphogenetic proteins (BMPs) are secreted as homodimers, non-covalently associated with N-terminal pro-peptides, and are targeted to the extracellular matrix through interaction with matrix proteins.","GOTerm"
"153","GO:0036090",0.0499481087140758,1,1,1,NA,NA,"MATCH",1,"GO:0036090","cleavage furrow ingression","BP","Advancement of the cleavage furrow from the outside of the cell inward towards the center of the cell. The cleavage furrow acts as a 'purse string' which draws tight to separate daughter cells during cytokinesis and partition the cytoplasm between the two daughter cells. The furrow ingresses until a cytoplasmic bridge is formed.","GOTerm"
"154","GO:0036109",0.0491793645768146,1,1,1,NA,NA,"MATCH",1,"GO:0036109","alpha-linolenic acid metabolic process","BP","The chemical reactions and pathways involving alpha-linolenic acid, an unsaturated omega-6 fatty acid that has the molecular formula C18H32O2.","GOTerm"
"155","GO:0036494",0.0455267868999232,1,1,1,NA,NA,"MATCH",1,"GO:0036494","positive regulation of translation initiation in response to endoplasmic reticulum stress","BP","Any process that activates, or increases the frequency, rate or extent of translation initiation as a result of endoplasmic reticulum stress.","GOTerm"
"156","GO:0036517",0.045566954750469,1,1,1,NA,NA,"MATCH",1,"GO:0036517","chemoattraction of serotonergic neuron axon","BP","The process in which a serotonergic neuron growth cone is directed to a specific target site in response to an attractive chemical signal.","GOTerm"
"157","GO:0038031",0.045566954750469,1,1,1,NA,NA,"MATCH",1,"GO:0038031","non-canonical Wnt signaling pathway via JNK cascade","BP","The series of molecular signals initiated by binding of a Wnt protein to a frizzled family receptor on the surface of the target cell, where the signal is passed on via the JNK cascade.","GOTerm"
"161","GO:0042245",0.0460345291595944,1,1,1,NA,NA,"MATCH",1,"GO:0042245","RNA repair","BP","Any process that results in the repair of damaged RNA.","GOTerm"
"162","GO:0042304",0.0483408047493502,1,1,1,NA,NA,"MATCH",1,"GO:0042304","regulation of fatty acid biosynthetic process","BP","Any process that modulates the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of fatty acids, any of the aliphatic monocarboxylic acids that can be liberated by hydrolysis from naturally occurring fats and oils.","GOTerm"
"163","GO:0042338",0.0455587771146833,1,1,1,NA,NA,"MATCH",1,"GO:0042338","cuticle development involved in collagen and cuticulin-based cuticle molting cycle","BP","Synthesis and deposition of a collagen and cuticulin-based noncellular, hardened, or membranous secretion from an epithelial sheet, occurring as part of the molting cycle. An example of this process is found in Caenorhabditis elegans.","GOTerm"
"166","GO:0042775",0.0492786939565878,1,1,1,NA,NA,"MATCH",1,"GO:0042775","mitochondrial ATP synthesis coupled electron transport","BP","The transfer of electrons through a series of electron donors and acceptors, generating energy that is ultimately used for synthesis of ATP, as it occurs in the mitochondrial inner membrane or chloroplast thylakoid membrane.","GOTerm"
"168","GO:0042985",0.0464519523481748,1,1,1,NA,NA,"MATCH",1,"GO:0042985","negative regulation of amyloid precursor protein biosynthetic process","BP","Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of amyloid precursor protein (APP), the precursor of amyloid-beta.","GOTerm"
"177","GO:0045446",0.0453341714158105,1,1,1,NA,NA,"MATCH",1,"GO:0045446","endothelial cell differentiation","BP","The process in which a mesodermal, bone marrow or neural crest cell acquires specialized features of an endothelial cell, a thin flattened cell. A layer of such cells lines the inside surfaces of body cavities, blood vessels, and lymph vessels, making up the endothelium.","GOTerm"
"181","GO:0045820",0.0489180024431118,1,1,1,NA,NA,"MATCH",1,"GO:0045820","negative regulation of glycolytic process","BP","Any process that stops, prevents, or reduces the frequency, rate or extent of glycolysis.","GOTerm"
"182","GO:0045844",0.0469014272698041,1,1,1,NA,NA,"MATCH",1,"GO:0045844","positive regulation of striated muscle tissue development","BP","Any process that activates or increases the frequency, rate or extent of striated muscle development.","GOTerm"
"185","GO:0046338",0.0495199848541034,1,1,1,NA,NA,"MATCH",1,"GO:0046338","phosphatidylethanolamine catabolic process","BP","The chemical reactions and pathways resulting in the breakdown of phosphatidylethanolamine, any of a class of glycerophospholipids in which a phosphatidyl group is esterified to the hydroxyl group of ethanolamine.","GOTerm"
"190","GO:0048050",0.0492397553757911,1,1,1,NA,NA,"MATCH",1,"GO:0048050","post-embryonic eye morphogenesis","BP","The process, occurring after embryonic development, by which the anatomical structures of the eye are generated and organized. The eye is the organ of sight.","GOTerm"
"191","GO:0048144",0.0467892877907253,1,1,1,NA,NA,"MATCH",1,"GO:0048144","fibroblast proliferation","BP","The multiplication or reproduction of fibroblast cells, resulting in the expansion of the fibroblast population.","GOTerm"
"197","GO:0048830",0.0464519523481748,1,1,1,NA,NA,"MATCH",1,"GO:0048830","adventitious root development","BP","The process whose specific outcome is the progression of adventitious root over time, from its formation to the mature structure. Adventitious roots are post-embryonic roots that develop from the plant shoot.","GOTerm"
"198","GO:0048850",0.045566954750469,1,1,1,NA,NA,"MATCH",1,"GO:0048850","hypophysis morphogenesis","BP","The process in which the anatomical structures of the hypophysis are generated and organized. The pituitary gland is an endocrine gland that secretes hormones that regulate many other glands.","GOTerm"
"202","GO:0050718",0.045566954750469,1,1,1,NA,NA,"MATCH",1,"GO:0050718","positive regulation of interleukin-1 beta secretion","BP","Any process that activates or increases the frequency, rate or extent of the regulated release of interleukin-1 beta from a cell.","GOTerm"
"207","GO:0051136",0.0490495200399418,1,1,1,NA,NA,"MATCH",1,"GO:0051136","regulation of NK T cell differentiation","BP","Any process that modulates the frequency, rate or extent of natural killer T cell differentiation.","GOTerm"
"208","GO:0051293",0.0486700277025889,1,1,1,NA,NA,"MATCH",1,"GO:0051293","establishment of spindle localization","BP","The directed movement of the spindle to a specific location in the cell.","GOTerm"
"209","GO:0051413",0.0494463345722935,1,1,1,NA,NA,"MATCH",1,"GO:0051413","response to cortisone","BP","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cortisone stimulus. Cortisone is a natural glucocorticoid steroid hormone that is metabolically convertible to cortisol. Cortisone is synthesized from cholesterol in the cortex of the adrenal gland under the stimulation of adrenocorticotropin hormone (ACTH). The main physiological effect of cortisone is on carbohydrate metabolism; it can stimulate increased glucose release from the liver, increased liver glycogen synthesis, and decreased utilization of glucose by the tissues.","GOTerm"
"211","GO:0051792",0.045201508921467,1,1,1,NA,NA,"MATCH",1,"GO:0051792","medium-chain fatty acid biosynthetic process","BP","The chemical reactions and pathways resulting in the formation of any fatty acid with a chain length of between C6 and C12.","GOTerm"
"212","GO:0051885",0.045566954750469,1,1,1,NA,NA,"MATCH",1,"GO:0051885","positive regulation of timing of anagen","BP","Any process that activates or increases the frequency, rate or extent of timing of anagen, the growth phase of the hair cycle.","GOTerm"
"215","GO:0055113",0.0470918387438903,1,1,1,NA,NA,"MATCH",1,"GO:0055113","epiboly involved in gastrulation with mouth forming second","BP","The expansion of one cell sheet over other cells involved in deuterostomic gastrulation.","GOTerm"
"217","GO:0060029",0.045566954750469,1,1,1,NA,NA,"MATCH",1,"GO:0060029","convergent extension involved in organogenesis","BP","The morphogenetic process in which an epithelium narrows along one axis and lengthens in a perpendicular axis contribution to the shaping of an organ.","GOTerm"
"219","GO:0060145",0.0464519523481748,1,1,1,NA,NA,"MATCH",1,"GO:0060145","viral gene silencing in virus induced gene silencing","BP","The posttranscriptional gene silencing of viral genes after viral infection.","GOTerm"
"220","GO:0060157",0.045566954750469,1,1,1,NA,NA,"MATCH",1,"GO:0060157","urinary bladder development","BP","The process whose specific outcome is the progression of the urinary bladder over time, from its formation to the mature structure. The urinary bladder is an elastic, muscular sac situated in the anterior part of the pelvic cavity in which urine collects before excretion.","GOTerm"
"224","GO:0060447",0.049460473016561,1,1,1,NA,NA,"MATCH",1,"GO:0060447","bud outgrowth involved in lung branching","BP","The process in which a region of the lung epithelium initiates an outgrowth.","GOTerm"
"227","GO:0060599",0.045566954750469,1,1,1,NA,NA,"MATCH",1,"GO:0060599","lateral sprouting involved in mammary gland duct morphogenesis","BP","The process in which a branch forms along the side of a mammary duct.","GOTerm"
"228","GO:0060638",0.045566954750469,1,1,1,NA,NA,"MATCH",1,"GO:0060638","mesenchymal-epithelial cell signaling","BP","Any process that mediates the transfer of information from a mesenchymal cell to an epithelial cell where it is received and interpreted.","GOTerm"
"229","GO:0060739",0.049460473016561,1,1,1,NA,NA,"MATCH",1,"GO:0060739","mesenchymal-epithelial cell signaling involved in prostate gland development","BP","Any process that mediates the transfer of information from a mesenchymal cell to an epithelial cell where it is received and interpreted contributing to the progression of the prostate gland over time.","GOTerm"
"232","GO:0060775",0.045566954750469,1,1,1,NA,NA,"MATCH",1,"GO:0060775","planar cell polarity pathway involved in gastrula mediolateral intercalation","BP","The series of molecular signals initiated by binding of a Wnt protein to a receptor on the surface of the target cell where activated receptors signal via downstream effectors including C-Jun N-terminal kinase (JNK) contributing to the interdigitation of cells along the mediolateral axis during gastrulation.","GOTerm"
"233","GO:0060809",0.045566954750469,1,1,1,NA,NA,"MATCH",1,"GO:0060809","mesodermal to mesenchymal transition involved in gastrulation","BP","The epithelial to mesenchymal transition process in which a mesodermal cell loses apical/basolateral polarity, severs intercellular adhesive junctions, degrades basement membrane components and becomes a migratory mesenchymal cell as part of the process of gastrulation.","GOTerm"
"236","GO:0061347",0.045566954750469,1,1,1,NA,NA,"MATCH",1,"GO:0061347","planar cell polarity pathway involved in outflow tract morphogenesis","BP","The series of molecular signals initiated by binding of a Wnt protein to a receptor on the surface of the target cell where activated receptors signal via downstream effectors including C-Jun N-terminal kinase (JNK) to modulate cytoskeletal elements and control cell polarity that contributes to the shaping of the outflow tract.","GOTerm"
"237","GO:0061348",0.045566954750469,1,1,1,NA,NA,"MATCH",1,"GO:0061348","planar cell polarity pathway involved in ventricular septum morphogenesis","BP","The series of molecular signals initiated by binding of a Wnt protein to a receptor on the surface of the target cell where activated receptors signal via downstream effectors including C-Jun N-terminal kinase (JNK) to modulate cytoskeletal elements and control cell polarity that contributes to the shaping of the ventricular septum.","GOTerm"
"238","GO:0061349",0.045566954750469,1,1,1,NA,NA,"MATCH",1,"GO:0061349","planar cell polarity pathway involved in cardiac right atrium morphogenesis","BP","The series of molecular signals initiated by binding of a Wnt protein to a receptor on the surface of the target cell where activated receptors signal via downstream effectors including C-Jun N-terminal kinase (JNK) to modulate cytoskeletal elements and control cell polarity that contributes to the shaping of the cardiac right atrium.","GOTerm"
"239","GO:0061350",0.045566954750469,1,1,1,NA,NA,"MATCH",1,"GO:0061350","planar cell polarity pathway involved in cardiac muscle tissue morphogenesis","BP","The series of molecular signals initiated by binding of a Wnt protein to a receptor on the surface of the target cell where activated receptors signal via downstream effectors including C-Jun N-terminal kinase (JNK) to modulate cytoskeletal elements and control cell polarity that contributes to the shaping of the cardiac muscle tissue.","GOTerm"
"240","GO:0061354",0.045566954750469,1,1,1,NA,NA,"MATCH",1,"GO:0061354","planar cell polarity pathway involved in pericardium morphogenesis","BP","The series of molecular signals initiated by binding of a Wnt protein to a receptor on the surface of the target cell where activated receptors signal via downstream effectors including C-Jun N-terminal kinase (JNK) to modulate cytoskeletal elements and control cell polarity that contributes to the shaping of the pericardium.","GOTerm"
"242","GO:0070221",0.0471410371464165,1,1,1,NA,NA,"MATCH",1,"GO:0070221","sulfide oxidation, using sulfide:quinone oxidoreductase","BP","A sulfide oxidation process that proceeds via the reaction catalyzed by sulfide:quinone oxidoreductase.","GOTerm"
"244","GO:0070245",0.045566954750469,1,1,1,NA,NA,"MATCH",1,"GO:0070245","positive regulation of thymocyte apoptotic process","BP","Any process that activates or increases the frequency, rate or extent of thymocyte death by apoptotic process.","GOTerm"
"247","GO:0070431",0.0453835430934179,1,1,1,NA,NA,"MATCH",1,"GO:0070431","nucleotide-binding oligomerization domain containing 2 signaling pathway","BP","Any series of molecular signals generated as a consequence of binding to nucleotide-binding oligomerization domain containing 2 (NOD2).","GOTerm"
"248","GO:0070495",0.0493629615589474,1,1,1,NA,NA,"MATCH",1,"GO:0070495","negative regulation of thrombin-activated receptor signaling pathway","BP","Any process that stops, prevents, or reduces the frequency, rate or extent of thrombin-activated receptor protein signaling pathway activity. A thrombin receptor signaling pathway is the series of molecular signals generated as a consequence of a thrombin-activated receptor binding to one of its physiological ligands.","GOTerm"
