"uniprot.id"	"gene"	"adj.pval.TimePoint"	"start"	"end"	"score"	"Match.ID"	"m_start"	"m_end"	"E.value"	"identity"	"al"	"protein.name.short"	"protein.name.long"	"gene.names"	"organism"	"GO.IDs"
NA	"PGEN_.00g123920"	2.64858691647957e-08	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"E9Q309"	"PGEN_.00g282790"	2.86363288812923e-08	2889	3089	388	"sp|E9Q309|CE350_MOUSE"	2327	2524	1.05e-35	40.291	206	"CE350_MOUSE"	"Centrosome-associated protein 350 (Cep350)"	"Cep350 Kiaa0480"	"Mus musculus (Mouse)"	"GO:0005634; GO:0005737; GO:0005813; GO:0005814; GO:0005819; GO:0008017; GO:0034453; GO:0042995"
"P49580"	"PGEN_.00g247270"	2.90515266884411e-08	60	332	439	"sp|P49580|ACHE_XENLA"	405	659	1.59e-45	35.036	274	"ACHE_XENLA"	"Acetylcholine receptor subunit epsilon"	"chrne"	"Xenopus laevis (African clawed frog)"	"GO:0004888; GO:0016021; GO:0022848; GO:0030054; GO:0045211"
NA	"PGEN_.00g286080"	3.35715866420233e-08	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g279710"	3.46984907391963e-08	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g135810"	3.80346541783666e-08	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g066220"	4.46312165256426e-08	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g170010"	4.50334911254929e-08	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g051050"	5.03466514759917e-08	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g278840"	5.21493024132157e-08	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q6INU7"	"PGEN_.00g009320"	6.20628181400053e-08	182	420	238	"sp|Q6INU7|FRRS1_XENLA"	725	966	3.55e-19	28.235	255	"FRRS1_XENLA"	"Putative ferric-chelate reductase 1 (EC 1.-.-.-)"	"frrs1"	"Xenopus laevis (African clawed frog)"	"GO:0016021; GO:0016491"
NA	"PGEN_.00g185140"	6.54744151030912e-08	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g203280"	6.86687651463521e-08	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"A8Q2D1"	"PGEN_.00g279430"	7.35581654638092e-08	186	450	346	"sp|A8Q2D1|NAS35_BRUMA"	102	355	1.38e-32	33.088	272	"NAS35_BRUMA"	"Zinc metalloproteinase dpy-31 (EC 3.4.24.-) (Nematode astacin 35) (Procollagen C-proteinase)"	"dpy-31 nas-35 Bm5432"	"Brugia malayi (Filarial nematode worm)"	"GO:0004222; GO:0005576; GO:0008270; GO:0042338"
"Q8TCG1"	"PGEN_.00g067300"	7.39053915338247e-08	1	904	973	"sp|Q8TCG1|CIP2A_HUMAN"	1	935	9e-116	31.045	947	"CIP2A_HUMAN"	"Protein CIP2A (Cancerous inhibitor of PP2A) (p90 autoantigen)"	"CIP2A KIAA1524"	"Homo sapiens (Human)"	"GO:0005737; GO:0005829; GO:0005886; GO:0007283; GO:0016021; GO:0042803; GO:0045296; GO:2000179"
NA	"PGEN_.00g278430"	7.68858883397513e-08	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g285330"	8.12438488851677e-08	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"O75096"	"PGEN_.00g190430"	8.77629333861881e-08	776	1198	357	"sp|O75096|LRP4_HUMAN"	53	482	1.31e-32	27.133	457	"LRP4_HUMAN"	"Low-density lipoprotein receptor-related protein 4 (LRP-4) (Multiple epidermal growth factor-like domains 7)"	"LRP4 KIAA0816 LRP10 MEGF7"	"Homo sapiens (Human)"	"GO:0001822; GO:0001942; GO:0005509; GO:0005886; GO:0006897; GO:0009953; GO:0009954; GO:0009986; GO:0014069; GO:0016021; GO:0016055; GO:0030279; GO:0030425; GO:0030971; GO:0031594; GO:0034185; GO:0042475; GO:0042733; GO:0042803; GO:0043025; GO:0044853; GO:0048813; GO:0050731; GO:0050771; GO:0050808; GO:0051124; GO:0051290; GO:0060173; GO:0071340; GO:0090090; GO:0097060; GO:0097104; GO:0097105; GO:0097110; GO:0150094; GO:1901631; GO:1904395"
NA	"PGEN_.00g238720"	8.87165780199763e-08	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g112130"	9.20902426905878e-08	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g316180"	1.02446361451627e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g108490"	1.02735049287549e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g207510"	1.03879241235979e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g310520"	1.0978318445315e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g328130"	1.24718519803448e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g066600"	1.29754771611876e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g248550"	1.53457732374844e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q5JSL3"	"PGEN_.00g242100"	1.568215699075e-07	1102	1691	1265	"sp|Q5JSL3|DOC11_HUMAN"	25	649	3.64e-152	43.353	662	"DOC11_HUMAN"	"Dedicator of cytokinesis protein 11 (Activated Cdc42-associated guanine nucleotide exchange factor) (ACG) (Zizimin-2)"	"DOCK11 ZIZ2"	"Homo sapiens (Human)"	"GO:0001782; GO:0002315; GO:0005085; GO:0005089; GO:0005829; GO:0007264; GO:0007596; GO:0043547; GO:0051491"
NA	"PGEN_.00g336040"	1.58198905416732e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q5FVR5"	"PGEN_.00g086400"	1.90593714628864e-07	10	411	570	"sp|Q5FVR5|ACNT2_RAT"	22	440	2.74e-67	37.296	429	"ACNT2_RAT"	"Acyl-coenzyme A amino acid N-acyltransferase 2 (EC 2.3.1.-)"	"Acnat2"	"Rattus norvegicus (Rat)"	"GO:0005777; GO:0006631; GO:0006637; GO:0016410; GO:0047617"
NA	"PGEN_.00g068680"	1.90593714628864e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q0P4M4"	"PGEN_.00g276130"	1.95046592667555e-07	303	485	535	"sp|Q0P4M4|CBPC2_XENTR"	392	574	2.57e-57	53.005	183	"CBPC2_XENTR"	"Cytosolic carboxypeptidase 2 (EC 3.4.17.-) (ATP/GTP-binding protein-like 2)"	"agbl2 ccp2"	"Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)"	"GO:0004181; GO:0005814; GO:0005829; GO:0008270; GO:0035610; GO:0036064"
"P10076"	"PGEN_.00g338720"	2.29496384477182e-07	312	837	507	"sp|P10076|ZFP26_MOUSE"	1140	1689	4.65e-51	28.227	581	"ZFP26_MOUSE"	"Zinc finger protein 26 (Zfp-26) (Protein mKR3)"	"Zfp26 Kiaa4196 Mkr3 Zfp-26"	"Mus musculus (Mouse)"	"GO:0003677; GO:0005634; GO:0006355; GO:0046872"
NA	"PGEN_.00g252880"	2.55092025933024e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g291480"	2.68754701525482e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g203950"	2.77310164852127e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g010970"	2.87375493705113e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q9UHD2"	"PGEN_.00g220380"	2.95408925107218e-07	1	629	1104	"sp|Q9UHD2|TBK1_HUMAN"	4	647	3.56e-137	36.93	658	"TBK1_HUMAN"	"Serine/threonine-protein kinase TBK1 (EC 2.7.11.1) (NF-kappa-B-activating kinase) (T2K) (TANK-binding kinase 1)"	"TBK1 NAK"	"Homo sapiens (Human)"	"GO:0003676; GO:0004672; GO:0004674; GO:0005524; GO:0005654; GO:0005737; GO:0005829; GO:0006468; GO:0006954; GO:0007249; GO:0009615; GO:0010008; GO:0010629; GO:0016032; GO:0016239; GO:0018105; GO:0018107; GO:0019903; GO:0032479; GO:0032480; GO:0032481; GO:0032606; GO:0032727; GO:0032728; GO:0033138; GO:0035666; GO:0042802; GO:0043123; GO:0043231; GO:0044565; GO:0045087; GO:0045359; GO:0045944; GO:0050830; GO:0051219; GO:0051607; GO:0060340; GO:0071345; GO:1901214; GO:1904417"
NA	"PGEN_.00g277700"	3.17831021221558e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g139540"	3.21473996114789e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q9C0G6"	"PGEN_.00g150340"	3.31185444791499e-07	1213	1269	149	"sp|Q9C0G6|DYH6_HUMAN"	1	56	4.09e-11	53.448	58	"DYH6_HUMAN"	"Dynein heavy chain 6, axonemal (Axonemal beta dynein heavy chain 6) (Ciliary dynein heavy chain 6)"	"DNAH6 DNAHC6 DNHL1 HL2 KIAA1697"	"Homo sapiens (Human)"	"GO:0005524; GO:0005737; GO:0005874; GO:0005929; GO:0007018; GO:0008569; GO:0030286; GO:0045505; GO:0051959"
"O60229"	"PGEN_.00g330670"	3.5267026868967e-07	49	709	1861	"sp|O60229|KALRN_HUMAN"	18	669	0	53.101	661	"KALRN_HUMAN"	"Kalirin (EC 2.7.11.1) (Huntingtin-associated protein-interacting protein) (Protein Duo) (Serine/threonine-protein kinase with Dbl- and pleckstrin homology domain)"	"KALRN DUET DUO HAPIP TRAD"	"Homo sapiens (Human)"	"GO:0004674; GO:0005085; GO:0005089; GO:0005524; GO:0005654; GO:0005829; GO:0006468; GO:0007165; GO:0007186; GO:0007399; GO:0007528; GO:0007595; GO:0007613; GO:0008344; GO:0015629; GO:0016192; GO:0035023; GO:0035176; GO:0035556; GO:0042711; GO:0043065; GO:0043547; GO:0046872; GO:0046959; GO:0048013; GO:0051056; GO:0060125; GO:0060137; GO:0061003; GO:0070062"
NA	"PGEN_.00g126360"	3.58300174255722e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g312440"	3.61533172468662e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g146700"	3.62366966815163e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g166960"	3.7675544130108e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q5XGC9"	"PGEN_.00g270150"	3.77389070625936e-07	190	339	177	"sp|Q5XGC9|SRFB1_XENTR"	2	166	2.81e-14	30.909	165	"SRFB1_XENTR"	"Serum response factor-binding protein 1 (SRF-dependent transcription regulation-associated protein)"	"srfbp1 TTpA001g14.1"	"Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)"	"GO:0005634; GO:0030490; GO:0030686; GO:0048471"
"Q3UTY6"	"PGEN_.00g193010"	4.70795313613103e-07	800	1005	368	"sp|Q3UTY6|THSD4_MOUSE"	361	572	1.64e-35	41.589	214	"THSD4_MOUSE"	"Thrombospondin type-1 domain-containing protein 4 (A disintegrin and metalloproteinase with thrombospondin motifs-like protein 6) (ADAMTS-like protein 6) (ADAMTSL-6) (ADAMTS-like protein 4) (ADAMTSL-4)"	"Thsd4"	"Mus musculus (Mouse)"	"GO:0001527; GO:0008233; GO:0031012; GO:0048251"
"Q90Z05"	"PGEN_.00g111560"	4.86772369733557e-07	44	521	1123	"sp|Q90Z05|VNG2B_XENLA"	60	546	1.66e-147	51.116	493	"VNG2B_XENLA"	"Vang-like protein 2-B (Protein strabismus-B) (Van Gogh-like protein 2-B) (Xstrabismus-B) (Xstbm-B)"	"vangl2-b stbm-a"	"Xenopus laevis (African clawed frog)"	"GO:0001736; GO:0005886; GO:0007399; GO:0016021; GO:0016055; GO:0060027; GO:0090090"
"Q99816"	"PGEN_.00g062550"	4.86772369733557e-07	8	144	459	"sp|Q99816|TS101_HUMAN"	8	144	2.59e-49	56.934	137	"TS101_HUMAN"	"Tumor susceptibility gene 101 protein (ESCRT-I complex subunit TSG101)"	"TSG101"	"Homo sapiens (Human)"	"GO:0000813; GO:0001558; GO:0003677; GO:0003714; GO:0005730; GO:0005737; GO:0005768; GO:0005769; GO:0005770; GO:0005771; GO:0005815; GO:0005829; GO:0005886; GO:0006513; GO:0006858; GO:0007050; GO:0007175; GO:0008285; GO:0008333; GO:0010008; GO:0015031; GO:0016197; GO:0016236; GO:0019058; GO:0030216; GO:0030374; GO:0031625; GO:0031901; GO:0031902; GO:0036258; GO:0039702; GO:0042059; GO:0042803; GO:0043130; GO:0043162; GO:0043405; GO:0043657; GO:0044877; GO:0045892; GO:0046755; GO:0046790; GO:0048306; GO:0051301; GO:0070062; GO:0075733; GO:0090543; GO:0097352; GO:1902188; GO:1903543; GO:1903551; GO:1903774; GO:1990182; GO:2000397"
NA	"PGEN_.00g287180"	4.92317291250678e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g254820"	4.98934378865511e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"B8NM66"	"PGEN_.00g311190"	5.19025333454462e-07	25	212	156	"sp|B8NM66|USTA_ASPFN"	139	324	6.66e-11	19.149	188	"USTA_ASPFN"	"Ribosomally synthesized cyclic peptide ustiloxin B precursosr (Ustiloxin B biosynthesis protein A) [Cleaved into: YAIG-I; YAIG-II; YAIG-III; YAIG-IV; YAIG-V; YAIG-VI; YAIG-VII; YAIG-VIII; YAIG-IX; YAIG-X; YAIG-XI; YAIG-XII; YAIG-XIII; YAIG-XIV; YAIG-XV; YAIG-XVI]"	"ustA AFLA_094980"	"Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / NRRL 3357 / JCM 12722 / SRRC 167)"	""
NA	"PGEN_.00g006980"	5.59061016257168e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q54NA6"	"PGEN_.00g288100"	5.93445014721635e-07	534	751	391	"sp|Q54NA6|MYBL_DICDI"	178	393	5.96e-38	40.183	219	"MYBL_DICDI"	"Myb-like protein L"	"mybL DDB_G0285373"	"Dictyostelium discoideum (Slime mold)"	"GO:0003677; GO:0005634"
"A6H611"	"PGEN_.00g228480"	5.97770697032537e-07	62	699	1805	"sp|A6H611|MIPEP_MOUSE"	11	654	0	52.241	647	"MIPEP_MOUSE"	"Mitochondrial intermediate peptidase (MIP) (EC 3.4.24.59)"	"Mipep"	"Mus musculus (Mouse)"	"GO:0004175; GO:0004222; GO:0005739; GO:0005759; GO:0006508; GO:0006518; GO:0006627; GO:0046872"
"Q9MZD1"	"PGEN_.00g120280"	6.57491769897761e-07	17	327	529	"sp|Q9MZD1|S17A5_SHEEP"	86	438	1.64e-60	36.544	353	"S17A5_SHEEP"	"Sialin (Membrane glycoprotein SP55) (Sodium/sialic acid cotransporter) (Solute carrier family 17 member 5)"	"SLC17A5"	"Ovis aries (Sheep)"	"GO:0005765; GO:0015293; GO:0016021"
NA	"PGEN_.00g266480"	7.06097941584809e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g254650"	7.10769251016427e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q8BWQ4"	"PGEN_.00g294980"	7.80792428054341e-07	85	470	778	"sp|Q8BWQ4|CMTR2_MOUSE"	92	485	1.1e-92	41.791	402	"CMTR2_MOUSE"	"Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 2 (EC 2.1.1.296) (Cap methyltransferase 2) (Cap2 2'O-ribose methyltransferase 2) (MTr2) (FtsJ methyltransferase domain-containing protein 1)"	"Cmtr2 Ftsjd1"	"Mus musculus (Mouse)"	"GO:0004483; GO:0005634; GO:0005737; GO:0006370; GO:0097309; GO:0097310"
NA	"PGEN_.00g045970"	7.80792428054341e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g070630"	7.80792428054341e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g004560"	8.43392965999421e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g245800"	9.0665895862019e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g020490"	9.37370249056378e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g296900"	9.37370249056378e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g017070"	1.00203680603965e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"P0C6B8"	"PGEN_.00g024490"	1.045677912118e-06	1858	2213	197	"sp|P0C6B8|SVEP1_RAT"	40	403	1.65e-14	25.197	381	"SVEP1_RAT"	"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1"	"Svep1"	"Rattus norvegicus (Rat)"	"GO:0003682; GO:0005509; GO:0005576; GO:0005737; GO:0007155; GO:0016020"
NA	"PGEN_.00g276650"	1.05471290732543e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g038260"	1.11859086650471e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g130840"	1.13852450068859e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g220440"	1.13852450068859e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q9VCA2"	"PGEN_.00g030310"	1.13951600799336e-06	36	474	628	"sp|Q9VCA2|ORCT_DROME"	8	457	1.4e-72	31.702	470	"ORCT_DROME"	"Organic cation transporter protein"	"Orct CG6331"	"Drosophila melanogaster (Fruit fly)"	"GO:0006811; GO:0006915; GO:0016021; GO:0022857"
"Q49AM3"	"PGEN_.00g242500"	1.1710696753405e-06	304	422	253	"sp|Q49AM3|TTC31_HUMAN"	278	397	1.43e-21	41.667	120	"TTC31_HUMAN"	"Tetratricopeptide repeat protein 31 (TPR repeat protein 31)"	"TTC31"	"Homo sapiens (Human)"	""
NA	"PGEN_.00g159410"	1.22161684602577e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g289490"	1.22542892455434e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q29RK9"	"PGEN_.00g166530"	1.28789592841597e-06	7	216	883	"sp|Q29RK9|MOB3B_BOVIN"	15	226	9.75e-121	72.642	212	"MOB3B_BOVIN"	"MOB kinase activator 3B (Mob1 homolog 2b) (Mps one binder kinase activator-like 2B)"	"MOB3B MOBKL2B"	"Bos taurus (Bovine)"	"GO:0035330; GO:0046872"
NA	"PGEN_.00g334290"	1.32326806296319e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"O95786"	"PGEN_.00g256920"	1.34108647621177e-06	244	387	280	"sp|O95786|DDX58_HUMAN"	500	643	5.62e-24	38.889	144	"DDX58_HUMAN"	"Antiviral innate immune response receptor RIG-I (DEAD box protein 58) (Probable ATP-dependent RNA helicase DDX58) (EC 3.6.4.13) (RIG-I-like receptor 1) (RLR-1) (Retinoic acid-inducible gene 1 protein) (RIG-1) (Retinoic acid-inducible gene I protein) (RIG-I)"	"DDX58"	"Homo sapiens (Human)"	"GO:0002230; GO:0002735; GO:0003690; GO:0003724; GO:0003725; GO:0003727; GO:0005524; GO:0005737; GO:0005829; GO:0005886; GO:0005923; GO:0008270; GO:0009597; GO:0009615; GO:0010628; GO:0015629; GO:0016032; GO:0016579; GO:0030334; GO:0031625; GO:0032480; GO:0032587; GO:0032725; GO:0032727; GO:0032728; GO:0032755; GO:0032757; GO:0034344; GO:0035549; GO:0039528; GO:0039529; GO:0042802; GO:0043330; GO:0045087; GO:0045944; GO:0051091; GO:0051607; GO:0060760; GO:0071360; GO:0140374; GO:1902741; GO:1904469; GO:1990904; GO:2000778"
NA	"PGEN_.00g038230"	1.35782818655018e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q9EQW7"	"PGEN_.00g309800"	1.38937887707212e-06	248	1475	3128	"sp|Q9EQW7|KI13A_MOUSE"	1	1199	0	53.296	1259	"KI13A_MOUSE"	"Kinesin-like protein KIF13A"	"Kif13a"	"Mus musculus (Mouse)"	"GO:0003777; GO:0005524; GO:0005623; GO:0005813; GO:0005871; GO:0005874; GO:0006886; GO:0007018; GO:0007049; GO:0008017; GO:0008333; GO:0010008; GO:0016887; GO:0030496; GO:0032438; GO:0032465; GO:0032588; GO:0035459; GO:0043001; GO:0051301; GO:0072383"
NA	"PGEN_.00g147620"	1.38937887707212e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g328540"	1.6153560393693e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"B3EWY9"	"PGEN_.00g075700"	1.72409954837597e-06	667	1365	707	"sp|B3EWY9|MLP_ACRMI"	819	1553	1.88e-73	30.739	758	"MLP_ACRMI"	"Mucin-like protein (Fragment)"	""	"Acropora millepora (Staghorn coral) (Heteropora millepora)"	"GO:0005509; GO:0007160; GO:0016021"
"P07207"	"PGEN_.00g276400"	1.84367785702305e-06	404	2261	4073	"sp|P07207|NOTCH_DROME"	27	1881	0	46.527	1915	"NOTCH_DROME"	"Neurogenic locus Notch protein [Cleaved into: Processed neurogenic locus Notch protein]"	"N CG3936"	"Drosophila melanogaster (Fruit fly)"	"GO:0001708; GO:0001745; GO:0002052; GO:0002213; GO:0003682; GO:0004888; GO:0005509; GO:0005623; GO:0005634; GO:0005654; GO:0005737; GO:0005768; GO:0005769; GO:0005770; GO:0005788; GO:0005796; GO:0005829; GO:0005886; GO:0005887; GO:0005912; GO:0005915; GO:0006110; GO:0007015; GO:0007219; GO:0007293; GO:0007297; GO:0007298; GO:0007314; GO:0007346; GO:0007391; GO:0007398; GO:0007400; GO:0007403; GO:0007405; GO:0007411; GO:0007419; GO:0007422; GO:0007423; GO:0007440; GO:0007446; GO:0007447; GO:0007450; GO:0007451; GO:0007455; GO:0007464; GO:0007473; GO:0007474; GO:0007476; GO:0007478; GO:0007498; GO:0007519; GO:0007521; GO:0007616; GO:0008045; GO:0008284; GO:0008340; GO:0008347; GO:0008356; GO:0008407; GO:0008587; GO:0009608; GO:0009950; GO:0009952; GO:0009986; GO:0010001; GO:0010628; GO:0010629; GO:0014019; GO:0016021; GO:0016330; GO:0016333; GO:0016348; GO:0016360; GO:0022416; GO:0030139; GO:0030154; GO:0030707; GO:0030708; GO:0030713; GO:0030718; GO:0030720; GO:0032991; GO:0035003; GO:0035153; GO:0035162; GO:0035165; GO:0035167; GO:0035171; GO:0035172; GO:0035204; GO:0035214; GO:0035222; GO:0036011; GO:0036099; GO:0036335; GO:0040008; GO:0042067; GO:0042676; GO:0042686; GO:0042688; GO:0042689; GO:0042691; GO:0043525; GO:0043697; GO:0045316; GO:0045466; GO:0045595; GO:0045893; GO:0045944; GO:0046329; GO:0046331; GO:0046666; GO:0046667; GO:0046716; GO:0046843; GO:0048052; GO:0048190; GO:0048477; GO:0048542; GO:0048664; GO:0048665; GO:0048749; GO:0048803; GO:0048863; GO:0050767; GO:0050768; GO:0050877; GO:0051489; GO:0060250; GO:0060288; GO:0060289; GO:0060571; GO:0061331; GO:0061382; GO:0097150; GO:1900087; GO:1902692; GO:1990433; GO:2000035; GO:2000048"
NA	"PGEN_.00g062900"	1.88203231758268e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"P25107"	"PGEN_.00g261240"	1.89948245929241e-06	132	312	331	"sp|P25107|PTH1R_DIDVI"	59	237	3.68e-34	38.22	191	"PTH1R_DIDVI"	"Parathyroid hormone/parathyroid hormone-related peptide receptor (PTH/PTHrP type I receptor) (PTH/PTHr receptor) (Parathyroid hormone 1 receptor) (PTH1 receptor)"	"PTH1R PTHR PTHR1"	"Didelphis virginiana (North American opossum) (Didelphis marsupialis virginiana)"	"GO:0004991; GO:0005887; GO:0007166; GO:0007188; GO:0007189; GO:0017046; GO:0042803; GO:0043621"
"Q90744"	"PGEN_.00g092070"	1.89948245929241e-06	1	381	1110	"sp|Q90744|NAGAB_CHICK"	29	412	3.28e-149	52.564	390	"NAGAB_CHICK"	"Alpha-N-acetylgalactosaminidase (EC 3.2.1.49) (Alpha-galactosidase B)"	"NAGA"	"Gallus gallus (Chicken)"	"GO:0004557; GO:0005737; GO:0005764; GO:0008456; GO:0009311; GO:0016139; GO:0046477"
NA	"PGEN_.00g268980"	1.90325211240757e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g240940"	1.91859624599039e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g097550"	2.04236869566401e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g335180"	2.07835522883177e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q8TDW5"	"PGEN_.00g067330"	2.26200242378584e-06	24	182	219	"sp|Q8TDW5|SYTL5_HUMAN"	108	276	6.34e-17	31.609	174	"SYTL5_HUMAN"	"Synaptotagmin-like protein 5"	"SYTL5 SLP5"	"Homo sapiens (Human)"	"GO:0005543; GO:0006886; GO:0006887; GO:0016020; GO:0017137; GO:0046872; GO:0070382"
NA	"PGEN_.00g282450"	2.40772592795057e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g270670"	2.49236283674909e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q8R4E1"	"PGEN_.00g178040"	2.84884330274439e-06	32	610	1145	"sp|Q8R4E1|TIP_RAT"	40	624	2.03e-148	41.625	603	"TIP_RAT"	"T-cell immunomodulatory protein (Protein TIP) (CDA08-like protein) (Integrin-alpha FG-GAP repeat-containing protein 1) (Linkin)"	"Itfg1 Cda08 Lnkn-1 Tip"	"Rattus norvegicus (Rat)"	"GO:0005576; GO:0005886; GO:0016021"
